String,Type,label
19 people buy this product per day,Social Proof,1
Flash Sale ends in SHOP NOW  ,Urgency,1
17 people have viewed this wine today,Social Proof,1
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Not Dark Pattern,0
Strip Softbox,Not Dark Pattern,0
Any other people looking at this item,Social Proof,1
ON SALE AT $1.99 FOR VERY LIMITED TIME,Urgency,1
Free Shipping. Limited Time Only. for orders over $50,Urgency,1
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",Not Dark Pattern,0
 Nursery ,Not Dark Pattern,0
Red Tops !,Not Dark Pattern,0
 Mitre Saws ,Not Dark Pattern,0
High Arches,Not Dark Pattern,0
Facebook icon ography,Not Dark Pattern,0
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1
More Info,Not Dark Pattern,0
What's New By Category,Not Dark Pattern,0
Explore The NRA Universe Of Websites,Not Dark Pattern,0
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime. ",Not Dark Pattern,0
Data Breach Privacy Policy: https://casalemedia.com/,Not Dark Pattern,0
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,1
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection,1
I'LL PAY FULL PRICE,Misdirection,1
0 DAYS22 TOTAL MINUTES21 SECONDS,Urgency,1
"touching, funny and romantic",Not Dark Pattern,0
 Rs INR ,Not Dark Pattern,0
Real time 30 Visitor right now,Social Proof,1
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",Not Dark Pattern,0
"Hurry, only 6 left in stock!",Scarcity,1
Brown Dresses,Not Dark Pattern,0
 Shop By Shape ,Not Dark Pattern,0
"No Thanks, I 'm Paying Full Price",Misdirection,1
"Oscar from Cajamarca, Peru purchased",Social Proof,1
 GeekVape Pursue a Healthy Vaping Experience ,Not Dark Pattern,0
"2,221 people have purchased this item",Social Proof,1
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",Not Dark Pattern,0
 New In Lunch Boxes ,Not Dark Pattern,0
 All consumers in the EU are charged VAT on the purchase of goods and services.,Not Dark Pattern,0
"No thanks, I don’t like saving money.",Misdirection,1
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",Not Dark Pattern,0
Hair Bundles With Kids,Not Dark Pattern,0
Last 1 left,Scarcity,1
No thanks. I don’t want to save money.,Misdirection,1
NRA Firearms For Freedom,Not Dark Pattern,0
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",Social Proof,1
Kinky Curly !,Not Dark Pattern,0
Victoria David Beckham,Not Dark Pattern,0
4 bought in the last 24 hours.,Social Proof,1
"The Dry Direct Ultimate is a great product, the best we have found. Customer service is very efficient, and deliveries have always been on time. We are very satisfied with reliability in all aspects.",Not Dark Pattern,0
FANSTASTIC DEALS HERE,Misdirection,1
Country (Optional),Not Dark Pattern,0
Speed Lace Accessory Kit - Silver,Not Dark Pattern,0
Last 1 in stock,Scarcity,1
Tree Frog s,Not Dark Pattern,0
 Active Filters English English ✘ Remove Filter ,Not Dark Pattern,0
 Contact Support ,Not Dark Pattern,0
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern,0
 Cayman Islands USD,Not Dark Pattern,0
JFN Crew Neck Floral Vacation T-Shirt/Tee,Not Dark Pattern,0
Sweep Train Simple A Line Tulle Wedding Dress with Appliques Hand Beading,Not Dark Pattern,0
Only 1 Left in Stock. Buy Soon!,Scarcity,1
Sometimes I don't feel lucky,Misdirection,1
Brand Directory ,Not Dark Pattern,0
Hurry! Only 3 Left In Stock.,Scarcity,1
"Get inspiration, new arrivals and the latest offers to your inbox.",Not Dark Pattern,0
"These cookies are necessary for the website to function and cannot be switched off in your system. These cookies are usually only set in response to actions made by you which include a request for services, such as setting your privacy preferences or logging into your account.",Not Dark Pattern,0
94% offers claimed. Hurry up!,Scarcity,1
Cap Construction,Not Dark Pattern,0
info@coolhockey.com,Not Dark Pattern,0
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark Pattern,0
Shotgun Shooting Mops,Not Dark Pattern,0
Household,Not Dark Pattern,0
I Don't Like to Save Money,Misdirection,1
Healthy Diet Recipes,Not Dark Pattern,0
 Limited Edition Colors ,Not Dark Pattern,0
19 people viewed this product per day,Social Proof,1
Offer ends in 15hrs 1min utes,Urgency,1
Hurry! Only 2 left in stock!,Scarcity,1
AboutOur StoryOur MissionOur ProductsIn the News,Not Dark Pattern,0
Hair Tools Used,Not Dark Pattern,0
Pedal Refresh ments - Doubleshot,Not Dark Pattern,0
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Misdirection,1
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",Social Proof,1
Purchased 8 times in the last few days.,Social Proof,1
Flex Mount ings,Not Dark Pattern,0
style to enlarge,Not Dark Pattern,0
Estimated technical overview,Not Dark Pattern,0
ONLY 12.5M LEFT IN STOCK!,Scarcity,1
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",Not Dark Pattern,0
 Outdoor Recreation ,Not Dark Pattern,0
Limited stock available,Scarcity,1
"No thanks, I don't like bribe offers",Misdirection,1
"No , I don't like good deals.",Misdirection,1
 Crystal Beads ,Not Dark Pattern,0
TSX Remotes,Not Dark Pattern,0
American Diamond Earrings,Not Dark Pattern,0
Please try again,Not Dark Pattern,0
21 people looked at this during the last 24 hours,Social Proof,1
"No thanks, I despise coupons!",Misdirection,1
Gear Up,Not Dark Pattern,0
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern,0
Carnival Remotes Edit,Not Dark Pattern,0
Crystal Shivlingas ,Not Dark Pattern,0
"No thanks, I'd like 0% off",Misdirection,1
Mallet E Speed Lace Metallic Black/Silver,Not Dark Pattern,0
(Only 1 left!),Scarcity,1
 Mixed Wine Cases ,Not Dark Pattern,0
Frame photo of stock in this colour,Not Dark Pattern,0
CHF,Not Dark Pattern,0
No thanks - I don't want to save money,Misdirection,1
 All Birthday Gifts ,Not Dark Pattern,0
Only 33 left,Scarcity,1
"NO THANKS, I DON’T WANT 15% OFF",Misdirection,1
World Famous Sweats,Not Dark Pattern,0
"No Thanks, I Don't Want a Discount",Misdirection,1
 World of Sweats ,Not Dark Pattern,0
Sparkling Elegance,Not Dark Pattern,0
Facebook icon,Not Dark Pattern,0
 Alchemy Books ,Not Dark Pattern,0
 Gut Health ,Not Dark Pattern,0
Only 2 left in stock,Scarcity,1
You might also like,Not Dark Pattern,0
Stay on Next.co.uk,Not Dark Pattern,0
 Bob Ross Oil Brushes ,Not Dark Pattern,0
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark Pattern,0
Returns an Item,Not Dark Pattern,0
HURRY UP > 09H 42M 39S,Urgency,1
Crossman Air Pistols,Not Dark Pattern,0
Parad Combo Deals ,Not Dark Pattern,0
Ask a Question,Not Dark Pattern,0
Special sale ends in,Urgency,1
7 sold in the last 24 hours,Social Proof,1
Limited Time Sale - Buy Now,Urgency,1
Limited time offer,Urgency,1
Don't miss out on this item! There is only 1 left in stock.,Scarcity,1
Thank you for posting a question!,Not Dark Pattern,0
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Social Proof,1
Tactical Rifles,Not Dark Pattern,0
Spin to unlock your mystery offer,Misdirection,1
"NO THANKS, I REALLY LIKE FREE STUFF",Misdirection,1
18 In Stock,Scarcity,1
"Now 30% off - hurry, limited time offer!",Urgency,1
Bath Decor,Not Dark Pattern,0
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Home,Urgency,1
Perhaps you could...,Not Dark Pattern,0
Enter this email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,Urgency,1
Bought by 39 people in last few hours! HOT SELLER!,Social Proof,1
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Urgency,1
"No thanks, I want to pay full price",Misdirection,1
407 customers have viewed this item recently,Social Proof,1
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1
Great for shine,Not Dark Pattern,0
Top looks from Myleene Klass Shop now,Not Dark Pattern,0
 Send Us Your Jersey ,Not Dark Pattern,0
Free Embroidery Patterns,Not Dark Pattern,0
Hurry! Sale Posted In: 02:59:50,Urgency,1
Email Address*,Not Dark Pattern,0
1 Left,Scarcity,1
Fun Treat Tossing,Not Dark Pattern,0
"No thanks, I don't want to look my best",Misdirection,1
and future features included!,Not Dark Pattern,0
 Write a reviewAsk a question,Not Dark Pattern,0
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,1
Other Applications :,Not Dark Pattern,0
