String,Type,label,predicate,prom_score_consistency,prom_feedback,prom_ok
1 person is looking at this item.,Social Proof,1,Activity Notifications,5.0,"Upon review, the provided text demonstrates a direct correlation to the type of social proof described as ""Activity Notifications."" This text clearly aligns with the definition of the type, as it conveys an observable action within the social context—one person looking at the item. This information directly influences the user's perception of the item's popularity, thereby influencing their potential actions. The evidential basis for this predicate is robust, offering clear and concise evidence that corresponds with the principles of social proof. Hence, the response adheres to the criteria of the score rubric, as it validates the predicate in question with a strong evidential backing. Consequently, it is reasonable to conclude that the response is a strong example of social proof. Therefore, the response is highly validated according to the given rubric, satisfying all aspects of the score rubric for a score of 5. 
[RESULT] 5",True
1 person is looking at this item.,Social Proof,1,Activity Notifications,5.0,"Upon review, the provided text demonstrates a direct correlation to the type of social proof described as ""Activity Notifications."" This text clearly aligns with the definition of the type, as it conveys an observable action within the social context—one person looking at the item. This information directly influences the user's perception of the item's popularity, thereby influencing their potential actions. The evidential basis for this predicate is robust, offering clear and concise evidence that corresponds with the principles of social proof. Hence, the response adheres to the criteria of the score rubric, as it validates the predicate in question with a strong evidential backing. Consequently, it is reasonable to conclude that the response is a strong example of social proof. Therefore, the response is highly validated according to the given rubric, satisfying all aspects of the score rubric for a score of 5. 
[RESULT] 5",True
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages,3.0,"The response accurately identifies the text's urgency element, which corresponds to the ""Limited-time Messages"" predicate. However, the score rubric specifically calls for evidence supporting the validity of the model's chosen predicate. Although the response correctly labels the text, it does not provide explicit evidence from the text to back up its selection. 

Moreover, the rubric provides an example of a score 5 response, which includes a clear definition of the predicate, along with a justification based on observable cues from the text. The absence of such a justification makes this response only partially aligned with the rubric's requirements.

So, while the response does meet some aspects of the rubric, it lacks the comprehensive justification needed for a full score. Therefore, the response is not fully meeting the criteria of the rubric and falls short of a score of 5. 
[RESULT] 3",True
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages,3.0,"The response accurately identifies the text's urgency element, which corresponds to the ""Limited-time Messages"" predicate. However, the score rubric specifically calls for evidence supporting the validity of the model's chosen predicate. Although the response correctly labels the text, it does not provide explicit evidence from the text to back up its selection. 

Moreover, the rubric provides an example of a score 5 response, which includes a clear definition of the predicate, along with a justification based on observable cues from the text. The absence of such a justification makes this response only partially aligned with the rubric's requirements.

So, while the response does meet some aspects of the rubric, it lacks the comprehensive justification needed for a full score. Therefore, the response is not fully meeting the criteria of the rubric and falls short of a score of 5. 
[RESULT] 3",True
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages,3.0,"The response accurately identifies the text's urgency element, which corresponds to the ""Limited-time Messages"" predicate. However, the score rubric specifically calls for evidence supporting the validity of the model's chosen predicate. Although the response correctly labels the text, it does not provide explicit evidence from the text to back up its selection. 

Moreover, the rubric provides an example of a score 5 response, which includes a clear definition of the predicate, along with a justification based on observable cues from the text. The absence of such a justification makes this response only partially aligned with the rubric's requirements.

So, while the response does meet some aspects of the rubric, it lacks the comprehensive justification needed for a full score. Therefore, the response is not fully meeting the criteria of the rubric and falls short of a score of 5. 
[RESULT] 3",True
17 people have viewed this wine today,Social Proof,1,Activity Notifications,5.0,"In evaluating the text against the provided predicate, it's evident that there is an alignment between the text and the concept of 'Activity Notifications'. The presence of a quantifiable metric ('17 people have viewed this wine today') suggests an activity update, which in turn corresponds to the notifications provided by social proof strategies. These notifications can be used to induce quick action by making users believe that other people are engaging with the content. Furthermore, while the actual behavior (purchase, view, etc.) isn't directly mentioned, the mention of the number of people who have viewed the content implies some level of user engagement. The absence of further fabricated information suggests a level of authenticity that is often the case in real-world social proof strategies. The cue given by the text is enough to meet the criteria for a score of 5, as it provides clear evidence for the validity of the activity notification predicate within the social proof context. 
[RESULT] 5",True
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Not Dark Pattern,0,,,,False
Strip Softbox,Not Dark Pattern,0,,,,False
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Social Proof,1,Activity Notifications,5.0,"The given text, ""THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS"", appears to be valid as an example of a social proof strategy. This is because the text is clearly intended to indicate that a large number of people have viewed a product in a short period of time. This is likely to influence the behavior of other users by making them feel that the product is popular and in demand, potentially encouraging them to purchase it. The activity notification feature is known to generate real-time updates on actions performed in an application, which in this case is product views. Therefore, according to the score rubric that measures the validity of the predicate within the Type, the text provided meets the requirements for a high score. It presents a clear and strong evidence for the type, ""Social Proof"". The text exemplifies a common practice in e-commerce platforms where the intention is to boost user confidence through social validation. Hence, the score 5 is justified due to the unambiguous nature of the evidence and its alignment with the prediction definition of ""Activity Notifications"". 
[RESULT] 5",True
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Social Proof,1,Activity Notifications,5.0,"The given text, ""THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS"", appears to be valid as an example of a social proof strategy. This is because the text is clearly intended to indicate that a large number of people have viewed a product in a short period of time. This is likely to influence the behavior of other users by making them feel that the product is popular and in demand, potentially encouraging them to purchase it. The activity notification feature is known to generate real-time updates on actions performed in an application, which in this case is product views. Therefore, according to the score rubric that measures the validity of the predicate within the Type, the text provided meets the requirements for a high score. It presents a clear and strong evidence for the type, ""Social Proof"". The text exemplifies a common practice in e-commerce platforms where the intention is to boost user confidence through social validation. Hence, the score 5 is justified due to the unambiguous nature of the evidence and its alignment with the prediction definition of ""Activity Notifications"". 
[RESULT] 5",True
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,1,Countdown Timers,5.0,"When evaluating the response based on the score rubric, we see a clear alignment with the predicate defined. The text in question features a visible countdown timer, signifying that a deal or discount will soon expire. This is evident from the time reading ""00:32:04"" and the phrase ""TIME IS RUNNING OUT!"", which gives the user a sense of urgency and a time-sensitive message. The predicate, ""Countdown Timers,"" is well chosen as it encapsulates the essence of the text and aligns with the Type definition of urgency. Furthermore, the evidence provided is observable and relevant, adhering to the rubric's requirement for clear evidence in support of the chosen predicate. The language used in the response is direct and assertive, indicating a strong understanding of the urgency type. Therefore, the response effectively meets the criteria for a score of 5 as per the score rubric, demonstrating that the text fits the predicate within the given Type. So the overall score is 5. [RESULT] 5",True
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,1,Countdown Timers,5.0,"When evaluating the response based on the score rubric, we see a clear alignment with the predicate defined. The text in question features a visible countdown timer, signifying that a deal or discount will soon expire. This is evident from the time reading ""00:32:04"" and the phrase ""TIME IS RUNNING OUT!"", which gives the user a sense of urgency and a time-sensitive message. The predicate, ""Countdown Timers,"" is well chosen as it encapsulates the essence of the text and aligns with the Type definition of urgency. Furthermore, the evidence provided is observable and relevant, adhering to the rubric's requirement for clear evidence in support of the chosen predicate. The language used in the response is direct and assertive, indicating a strong understanding of the urgency type. Therefore, the response effectively meets the criteria for a score of 5 as per the score rubric, demonstrating that the text fits the predicate within the given Type. So the overall score is 5. [RESULT] 5",True
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,1,Countdown Timers,5.0,"When evaluating the response based on the score rubric, we see a clear alignment with the predicate defined. The text in question features a visible countdown timer, signifying that a deal or discount will soon expire. This is evident from the time reading ""00:32:04"" and the phrase ""TIME IS RUNNING OUT!"", which gives the user a sense of urgency and a time-sensitive message. The predicate, ""Countdown Timers,"" is well chosen as it encapsulates the essence of the text and aligns with the Type definition of urgency. Furthermore, the evidence provided is observable and relevant, adhering to the rubric's requirement for clear evidence in support of the chosen predicate. The language used in the response is direct and assertive, indicating a strong understanding of the urgency type. Therefore, the response effectively meets the criteria for a score of 5 as per the score rubric, demonstrating that the text fits the predicate within the given Type. So the overall score is 5. [RESULT] 5",True
Free Shipping. Limited Time Only. for orders over $50,Urgency,1,Limited-time Messages,5.0,"When examining the text provided, the model has successfully identified a critical aspect of the given instruction, which is the urgency factor in the text. It effectively chooses the predicate ""Limited-time Messages,"" which is a reflection of the time-sensitive nature of the offer. The cues within the text, such as ""Free Shipping"" and ""Limited Time Only,"" are indicative of this type of urgency, as they imply that the offer is available only for a brief period. The model's decision to categorize the text as urgency-related, rather than another predicate, is appropriate given the explicit language used in the text. The choice of the predicate, as well as the rationale provided, aligns with the score rubric that emphasizes the importance of the urgency type. The response demonstrates a clear understanding of the given instruction and presents a justified predicate. So, the score for the response is 5, as it provides a strong validation with clear evidence. [RESULT] 5",True
Free Shipping. Limited Time Only. for orders over $50,Urgency,1,Limited-time Messages,5.0,"When examining the text provided, the model has successfully identified a critical aspect of the given instruction, which is the urgency factor in the text. It effectively chooses the predicate ""Limited-time Messages,"" which is a reflection of the time-sensitive nature of the offer. The cues within the text, such as ""Free Shipping"" and ""Limited Time Only,"" are indicative of this type of urgency, as they imply that the offer is available only for a brief period. The model's decision to categorize the text as urgency-related, rather than another predicate, is appropriate given the explicit language used in the text. The choice of the predicate, as well as the rationale provided, aligns with the score rubric that emphasizes the importance of the urgency type. The response demonstrates a clear understanding of the given instruction and presents a justified predicate. So, the score for the response is 5, as it provides a strong validation with clear evidence. [RESULT] 5",True
"Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase",Not Dark Pattern,0,,,,False
