String,Type,label
IN HIGH DEMAND!,Scarcity,1
Only 9 left in stock,Scarcity,1
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,1
1 LEFT IN THIS SIZE,Scarcity,1
"ONLY 5 LEFT, ORDER SOON!",Scarcity,1
Only 1 left in stock,Scarcity,1
Low Stock Only 2 left,Scarcity,1
Hurry only 8 items left!,Scarcity,1
(only 5 left),Scarcity,1
Only 2 left,Scarcity,1
Only 8 left in stock. Almost Gone!,Scarcity,1
Only 16531 items left in stock!,Scarcity,1
"Hurry, only 1 left in stock!",Scarcity,1
ONLY 1 REMAINING,Scarcity,1
Only 5 left in stock,Scarcity,1
Hurry! Only 6 left in stock!,Scarcity,1
1 in Stock,Scarcity,1
ONLY 1 LEFT IN THIS SIZE,Scarcity,1
Only 14 left!,Scarcity,1
HURRY! ONLY 31 LEFT IN STOCK.,Scarcity,1
Only 2 Left,Scarcity,1
LOW STOCK (ONLY 10 LEFT!),Scarcity,1
Only 2 left in stock. Make it yours.,Scarcity,1
"Order soon, only 1 left!",Scarcity,1
"HURRY, LOW IN STOCK!",Scarcity,1
only 2 left!,Scarcity,1
Only 4 copies left,Scarcity,1
Only 4 left in this size!,Scarcity,1
Status:Only 3 left in stock,Scarcity,1
Only 498 left,Scarcity,1
Only 13 left!,Scarcity,1
ONLY 3 LEFT! GET IT NOW!,Scarcity,1
ONLY 1 LEFT IN STOCK,Scarcity,1
Only 16 Left in Stock!,Scarcity,1
Only 3 left in stock!,Scarcity,1
Only 3 Left!,Scarcity,1
Only 4 left,Scarcity,1
Hurry! Only 1 left in size M!!,Scarcity,1
Only 1 left in online stock,Scarcity,1
Hurry! Only 2 left!,Scarcity,1
Pre-order 3 left,Scarcity,1
"Hurry, this style is selling fast!",Scarcity,1
3 left in stock,Scarcity,1
"Hurry, only 1 left!",Scarcity,1
Hurry! Only 6 left in stock.,Scarcity,1
1 item left,Scarcity,1
LESS THAN 8 LEFT IN STOCK!,Scarcity,1
"Don't snooze, only 1 left",Scarcity,1
Less than 6 items left,Scarcity,1
96 ITEM(S) LEFT IN STOCK!,Scarcity,1
Going Fast: Limited Quantities Left!,Scarcity,1
Only 1 Left in Stock!,Scarcity,1
In demand,Scarcity,1
HURRY! ONLY 2 LEFT IN STOCK!,Scarcity,1
Hurry! Only 2 left at this price!,Scarcity,1
ONLY 4 LEFT!,Scarcity,1
Hurry! Only 9 left in stock.,Scarcity,1
LOW STOCK: Only 1 left.,Scarcity,1
"Hurry, only 3 left!",Scarcity,1
only 2 left,Scarcity,1
"Sorry, this is out of stock. You just missed it.",Scarcity,1
Only 1 left!,Scarcity,1
90% offers claimed. Hurry up!,Scarcity,1
Items in your cart are in high demand. But we have reserved your order.,Scarcity,1
Last one available,Scarcity,1
High demand,Scarcity,1
ONLY 9 LEFT,Scarcity,1
Over 500 left in stock,Scarcity,1
In Stock (8) Left,Scarcity,1
We only have 5 left!,Scarcity,1
Warning: Last items in stock!,Scarcity,1
ONLY 5 LEFT!,Scarcity,1
Availability: Low Stock 4 Remaining,Scarcity,1
Only 3 left in stock,Scarcity,1
"Hurry, only a few left!",Scarcity,1
HURRY! ONLY 1 IN STOCK!,Scarcity,1
ONLY 11 LEFT,Scarcity,1
Only 8 item(s) left,Scarcity,1
Only 6 left,Scarcity,1
"Order now, only 2 left in stock!",Scarcity,1
2 LEFT,Scarcity,1
Availability: 5 items left,Scarcity,1
Hurry! Only 6 left in stock,Scarcity,1
Availability: Only 4 Left!,Scarcity,1
Hurry! Only 15 left!,Scarcity,1
Clearance! Only 4 left in stock.,Scarcity,1
Only 11 Left In Stock,Scarcity,1
Only 1 item left,Scarcity,1
Limited Quantity,Scarcity,1
Limited Stock,Scarcity,1
Only 9 left,Scarcity,1
"In stock, only 1 products left",Scarcity,1
Only 2 Left in Stock,Scarcity,1
ONLY 13 LEFT,Scarcity,1
Limited Availability,Scarcity,1
"128 sold today! Hurry, only a few left!",Scarcity,1
1 in stock,Scarcity,1
(Only 1 left!),Scarcity,1
Only 1 left.,Scarcity,1
HURRY ONLY 9 LEFT IN STOCK!,Scarcity,1
Only 1 left In Stock,Scarcity,1
3 LEFT,Scarcity,1
Hurry !! Only 52 left in stock,Scarcity,1
LESS THAN 5 LEFT!,Scarcity,1
Hurry! Only 2 left,Scarcity,1
This size has only 1 left in stock,Scarcity,1
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1
Only 1 left in Stock,Scarcity,1
HURRY! ONLY 14 LEFT IN STOCK.,Scarcity,1
Only 6 items left,Scarcity,1
ONLY 1 LEFT! GET IT NOW!,Scarcity,1
Only 1 items left in stock!,Scarcity,1
ONLY 1 LEFT!,Scarcity,1
Only 1 Left in this Size!,Scarcity,1
LOW IN STOCK!! GET YOURS NOW,Scarcity,1
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Scarcity,1
"Only 1 left , In Stock",Scarcity,1
Only 25 Deals left,Scarcity,1
18 In Stock,Scarcity,1
4 items left,Scarcity,1
Only 4 left!,Scarcity,1
"Don't miss out, only 2 left in stock",Scarcity,1
Currently less than 10 available,Scarcity,1
Hurry! Only 2 left in stock!,Scarcity,1
Only 82 left in stock!,Scarcity,1
Only 5 item(s) left.,Scarcity,1
Only 1 left in stock! Order soon!,Scarcity,1
Only 5 pcs left!,Scarcity,1
320 items left,Scarcity,1
23% left in stock!,Scarcity,1
Only 2 left in stock,Scarcity,1
1 left at this price,Scarcity,1
Only A Few Left,Scarcity,1
Only 4 Left!,Scarcity,1
Only 3 left.,Scarcity,1
Low in stock: only 1 left.,Scarcity,1
Only 3 Left In Stock,Scarcity,1
5 LEFT,Scarcity,1
20 units left,Scarcity,1
Only 8 left!,Scarcity,1
5 in stock,Scarcity,1
2 left,Scarcity,1
1 left in stock,Scarcity,1
*Only 2 left in stock. Don't miss out!,Scarcity,1
Only 1 Item Left!,Scarcity,1
Hurry! Only 1 left in stock,Scarcity,1
ONLY 2 LEFT,Scarcity,1
Only 1 left in stock! Get in quick!,Scarcity,1
Last 1 left,Scarcity,1
HURRY! 3 left in stock!,Scarcity,1
Only 4 left at this price,Scarcity,1
Only 1 item left!,Scarcity,1
In stock | 44 left,Scarcity,1
Only 14 left,Scarcity,1
3 Left!,Scarcity,1
Limited Quantity Available,Scarcity,1
Only 2 units left!,Scarcity,1
Only few items left in stock,Scarcity,1
Only 2 items left in stock.,Scarcity,1
Hurry! Only 7 left in stock.,Scarcity,1
Only 7 left,Scarcity,1
Items in your cart are in VERY high-demand.,Scarcity,1
Items in your cart are selling fast,Scarcity,1
Selling fast!,Scarcity,1
ONLY 1 WATCH LEFT,Scarcity,1
"Size low on stock, only 1 item left",Scarcity,1
Only 7 left!,Scarcity,1
"894 Claimed! Hurry, only a few left!",Scarcity,1
only 5 left in stock,Scarcity,1
Hurry! Only 1 Left In Stock,Scarcity,1
Only 1 item left in stock,Scarcity,1
Only 5 Left in Stock. Buy Soon!,Scarcity,1
Low Stock Alert: Only 8 left in inventory,Scarcity,1
We have 1 left in stock,Scarcity,1
Only 3 left In Stock,Scarcity,1
Only 2 Left!,Scarcity,1
Only 8 left in stock,Scarcity,1
Hurry! Only 1 left!,Scarcity,1
Only 2 copies left,Scarcity,1
HURRY! ONLY 58 LEFT IN STOCK!,Scarcity,1
Low in stock,Scarcity,1
only 1 in stock,Scarcity,1
Only 9 left!,Scarcity,1
Less than 10 left in stock,Scarcity,1
Only 3 Left,Scarcity,1
Low Stock! Only 3 left.,Scarcity,1
Only one item left in stock!,Scarcity,1
Almost gone! Only 3 left In Stock,Scarcity,1
Limited stock available,Scarcity,1
In Stock only 3 left,Scarcity,1
Last chance! Only 1 left,Scarcity,1
In Stock - Limited Quantity,Scarcity,1
Low In Stock Today,Scarcity,1
"In Stock, Only 1 Left!",Scarcity,1
Only 2 stock available,Scarcity,1
Hurry Up ! Just 2 Items Left in stock,Scarcity,1
3 items left,Scarcity,1
Only 1 Left in Stock. Buy Soon!,Scarcity,1
Hurry! Only 3 Left In Stock.,Scarcity,1
WARNING! Only 5 left in stock!,Scarcity,1
Only 4 items left in stock.,Scarcity,1
Only 11 left!,Scarcity,1
Only 1.75 yards left in stock!,Scarcity,1
Last 1 in stock,Scarcity,1
Only 3 left in stock.,Scarcity,1
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,1
Only 20 left,Scarcity,1
LAST 1 LEFT,Scarcity,1
Only a few more left!,Scarcity,1
We only have 8.0000 left in Stock,Scarcity,1
Hurry up! Only 4 left in stock,Scarcity,1
"Hurry, only 6 left in stock!",Scarcity,1
JUST 1 LEFT!,Scarcity,1
"HURRY, ONLY 1 LEFT!",Scarcity,1
Only 9 units left in stock online.,Scarcity,1
Hurry only 1 left!,Scarcity,1
Only a few left,Scarcity,1
Only 4 left In Stock,Scarcity,1
ONLY 3 LEFT IN STOCK.,Scarcity,1
70% offers claimed. Hurry up!,Scarcity,1
Only a few left of this product!,Scarcity,1
167 piece(s) left for this promo,Scarcity,1
Only 1 Left!,Scarcity,1
ONLY 5 LEFT IN STOCK!,Scarcity,1
HURRY! ONLY 2 LEFT!,Scarcity,1
Sellout risk:,Scarcity,1
only 2 left in stock,Scarcity,1
Hurry only 2 left,Scarcity,1
Only 22 left in stock!,Scarcity,1
Only 4 unit(s) available!,Scarcity,1
Only 1 item(s) left in stock,Scarcity,1
Only 2 left in stock!,Scarcity,1
Only 8 left,Scarcity,1
Only 3 items left,Scarcity,1
Only 1 unit left in stock,Scarcity,1
Only 3 left,Scarcity,1
Only 1 piece left.,Scarcity,1
94% offers claimed. Hurry up!,Scarcity,1
Only 7 in Stock!,Scarcity,1
Only 2 left.,Scarcity,1
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Scarcity,1
Only 2 items left,Scarcity,1
Less than 7 left!,Scarcity,1
ONLY 7 LEFT!,Scarcity,1
limited availability at this price!,Scarcity,1
Only 1 items left,Scarcity,1
Hurry up! Only 11 items left,Scarcity,1
Only 10 left in stock,Scarcity,1
Less than 10 left!,Scarcity,1
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,Scarcity,1
Only 15 left in stock,Scarcity,1
Only 3 available,Scarcity,1
4 SEATS LEFT,Scarcity,1
ONLY 1 LEFT,Scarcity,1
Only 1 products left,Scarcity,1
10 SEATS LEFT,Scarcity,1
Only 1 left in stock.,Scarcity,1
Only 32 left in stock,Scarcity,1
In Stock. Only 1 Left!,Scarcity,1
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,1
Low in stock: only 2 left.,Scarcity,1
"ONCE IT'S GONE, IT'S GONE",Scarcity,1
Only 8 Left!,Scarcity,1
"LOW IN STOCK, only 2 left",Scarcity,1
Hurry Low Stock,Scarcity,1
Currently 8 left in stock.,Scarcity,1
3 Left,Scarcity,1
ONLY 12.5M LEFT IN STOCK!,Scarcity,1
2 in stock,Scarcity,1
Limited quantity remaining,Scarcity,1
5 left,Scarcity,1
Limited quantity! ,Scarcity,1
Only 3 pieces in stock!,Scarcity,1
"Only 3 left , In Stock",Scarcity,1
There is only one product left!,Scarcity,1
Availability: In Stock Hurry! Only 8 Left!,Scarcity,1
87% offers claimed. Hurry up!,Scarcity,1
ONLY 2 LEFT IN STOCK!,Scarcity,1
Only 7 left in stock!,Scarcity,1
"Available, only 2 left",Scarcity,1
Only 3 Left! Get it before it`s gone!,Scarcity,1
7 left in stock,Scarcity,1
3 left,Scarcity,1
"Only 2 left, order soon",Scarcity,1
We only have few stocks left for this product. Please don't miss the chance.,Scarcity,1
"803 Claimed! Hurry, only a few left!",Scarcity,1
ONLY 1 ITEM LEFT,Scarcity,1
Hurry! Only 2 Left,Scarcity,1
ONLY 52 items left in stock!,Scarcity,1
Only 1 left,Scarcity,1
Limited stock Only 2 left,Scarcity,1
QUICK! ONLY 1 LEFT IN STOCK,Scarcity,1
Hurry! Only 4 left in stock.,Scarcity,1
Only 1 left in stock!,Scarcity,1
Hurry! 1 items left!,Scarcity,1
10 Left in stock,Scarcity,1
ONLY 8 LEFT,Scarcity,1
Limited quantity available,Scarcity,1
Hurry Up! Only 1 Piece Left,Scarcity,1
Limited stock!,Scarcity,1
"Hurry, only 2 left in stock!",Scarcity,1
Only 5 Left,Scarcity,1
ALMOST GONE - only 2 remaining!,Scarcity,1
Hurry! Only 1 Pair left!,Scarcity,1
Only 8 items left in stock!,Scarcity,1
Only 5 left!,Scarcity,1
ONLY 5 LEFT IN STOCK,Scarcity,1
Only 34 Left!,Scarcity,1
LAST CHANCE TO ACTIVATE 10% OFF,Scarcity,1
Only 1 Item(s) left,Scarcity,1
Limited Stock!,Scarcity,1
(Only 5 Left),Scarcity,1
In Stock Only 5 left!,Scarcity,1
Only 9 Left.,Scarcity,1
ONLY 5 LEFT,Scarcity,1
"Items in your cart are in high demand, but we have reserved your order.",Scarcity,1
HURRY! ONLY 19 LEFT IN STOCK.,Scarcity,1
"ONLY 5 LEFT, HURRY!",Scarcity,1
Only 2 units left in stock,Scarcity,1
Hurry! Limited Quantity Available.,Scarcity,1
Almost Sold Out! Only 2 Left.,Scarcity,1
This item is in high demand.,Scarcity,1
ONLY 20 LEFT IN STOCK,Scarcity,1
74% offers claimed. Hurry up!,Scarcity,1
Only 7 left in stock.,Scarcity,1
ONLY 4 LEFT,Scarcity,1
ONLY 3 LEFT IN STOCK!,Scarcity,1
8 items left,Scarcity,1
