String,Type,label,aug
POPULAR 62 others checked this page in the last few hours.,Social Proof,1,1
Flash Sale ends in SHOP NOW  ,Urgency,1,0
17 people have viewed this wine today,Social Proof,1,0
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Not Dark Pattern,0,0
Strip Softbox,Not Dark Pattern,0,0
Most people seeing this product right now,Social Proof,1,1
"SALE TIME IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",Urgency,1,1
Free Shipping. Limited Time Only. for orders over $50,Urgency,1,0
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",Not Dark Pattern,0,0
 Nursery ,Not Dark Pattern,0,0
Institute for Legislative Reform,Not Dark Pattern,0,1
 Mitre Saws ,Not Dark Pattern,0,0
High Arches,Not Dark Pattern,0,0
The service you requested is not available in the selected country,Not Dark Pattern,0,1
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,0
More Info,Not Dark Pattern,0,0
What's New By Category,Not Dark Pattern,0,0
Explore The NRA Universe Of Websites,Not Dark Pattern,0,0
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1,0
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0,0
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime. ",Not Dark Pattern,0,0
Thermostats Edit,Not Dark Pattern,0,1
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,1,0
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection,1,0
I'LL PAY FULL PRICE,Misdirection,1,0
LIMITED TIME ONLY: FREE SHIPPING TO SELECT ED ON ORDERS OVER $100!,Urgency,1,1
"touching, funny and romantic",Not Dark Pattern,0,0
 Rs INR ,Not Dark Pattern,0,0
Real time 30 Visitor right now,Social Proof,1,0
Main Maintenance Plants,Not Dark Pattern,0,1
"Hurry, only 6 left in stock!",Scarcity,1,0
Brown Dresses,Not Dark Pattern,0,0
 Shop By Shape ,Not Dark Pattern,0,0
Customers also welcome,Misdirection,1,1
"Oscar from Cajamarca, Peru purchased",Social Proof,1,0
 GeekVape Pursue a Healthy Vaping Experience ,Not Dark Pattern,0,0
"2,221 people have purchased this item",Social Proof,1,0
FilterSortFeaturedPrice: Low to HighPrice: High to Low A-ZAlphabetical: Z-A,Not Dark Pattern,0,1
 New In Lunch Boxes ,Not Dark Pattern,0,0
 All consumers in the EU are charged VAT on the purchase of goods and services.,Not Dark Pattern,0,0
"NO THANKS, I DON’T LIKE MISSING OUT",Misdirection,1,1
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",Not Dark Pattern,0,0
Crystal Beads Collection,Not Dark Pattern,0,1
Last 1 left,Scarcity,1,0
No thanks. I don’t want to save money.,Misdirection,1,0
NRA Firearms For Freedom,Not Dark Pattern,0,0
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",Social Proof,1,0
View All Home Page,Not Dark Pattern,0,1
Terms of Use,Not Dark Pattern,0,1
4 bought in the last 24 hours.,Social Proof,1,0
Brand: Ray-Ban® | Similar products : Ray-Ban®,Not Dark Pattern,0,1
"NO, I'LL PAY FULL PAY",Misdirection,1,1
Country (Optional),Not Dark Pattern,0,0
Speed Lace Accessory Kit - Silver,Not Dark Pattern,0,0
Last 1 in stock,Scarcity,1,0
Office Style & Decor,Not Dark Pattern,0,1
 Active Filters English English ✘ Remove Filter ,Not Dark Pattern,0,0
 Contact Support ,Not Dark Pattern,0,0
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern,0,0
 Cayman Islands USD,Not Dark Pattern,0,0
JFN Crew Neck Floral Vacation T-Shirt/Tee,Not Dark Pattern,0,0
Behind the Look,Not Dark Pattern,0,1
Only 1 Left in Stock. Buy Soon!,Scarcity,1,0
"Nah, please pay full price",Misdirection,1,1
Brand Directory ,Not Dark Pattern,0,0
Hurry! Only 3 Left In Stock.,Scarcity,1,0
View All NFL,Not Dark Pattern,0,1
Plastic Materials,Not Dark Pattern,0,1
94% offers claimed. Hurry up!,Scarcity,1,0
Cap Construction,Not Dark Pattern,0,0
info@coolhockey.com,Not Dark Pattern,0,0
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark Pattern,0,0
Subscribe Now,Not Dark Pattern,0,1
Household,Not Dark Pattern,0,0
I Don't Like to Save Money,Misdirection,1,0
Horizon Wide Field Sweatshirt,Not Dark Pattern,0,1
 Limited Edition Colors ,Not Dark Pattern,0,0
19 people viewed this product per day,Social Proof,1,0
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE Shipping,Urgency,1,1
Hurry! Only 2 left in stock!,Scarcity,1,0
AboutOur StoryOur MissionOur ProductsIn the News,Not Dark Pattern,0,0
Casual Wear ings,Not Dark Pattern,0,1
Cargo Trousers Used,Not Dark Pattern,0,1
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Misdirection,1,0
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",Social Proof,1,0
Purchased 8 times in the last few days.,Social Proof,1,0
Motion Detection System,Not Dark Pattern,0,1
REPLACE-WITH-DYANMIC-HOST-ID ENTS,Not Dark Pattern,0,1
Speed Lace Accessory Package - Orange,Not Dark Pattern,0,1
ONLY 12.5M LEFT IN STOCK!,Scarcity,1,0
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",Not Dark Pattern,0,0
 Outdoor Recreation ,Not Dark Pattern,0,0
Limited stock available,Scarcity,1,0
How about some of these hot sellers?,Misdirection,1,1
Subscribe & Share,Misdirection,1,1
 Crystal Beads ,Not Dark Pattern,0,0
TSX Remotes,Not Dark Pattern,0,0
American Diamond Earrings,Not Dark Pattern,0,0
Phone Phones For Seniors,Not Dark Pattern,0,1
RECENTLY VIEWED 2 others viewed this in the last 24 hours,Social Proof,1,1
"No thanks, I despise coupons!",Misdirection,1,0
Gear Up,Not Dark Pattern,0,0
