String,Type,label,predicate,aug,prom_score_consistency,prom_feedback,prom_ok
POPULAR 62 others checked this page in the last few hours.,Social Proof,1,Activity Notifications,1,5.0,"The model has correctly identified the text as fitting the Activity Notifications predicate within the Social Proof type. The text includes observable cues such as ""POPULAR 62 others checked this page in the last few hours,"" which corresponds with the predicate definition of inducing quick action through simulated or real messages that suggest other users' behaviors. The inclusion of these notifications serves to influence the behavior of the users, creating the perception that the item has already been endorsed by a significant number of people. The labeling of the response demonstrates the strong validity of the text against the defined criteria. Therefore, the feedback aligns with the reference answer and aligns with the predicate definition, providing a clear and solid basis for the chosen label. 
[RESULT] 5",True
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages,0,5.0,"Upon examining the provided response, it becomes evident that the response has appropriately selected the ""Limited-time Messages"" predicate, which closely aligns with the type of urgency being described. This predicate accurately identifies the urgent tone conveyed by phrases such as ""ends in"" or ""SHOP NOW,"" which imply that the user has a limited time frame to take advantage of the sale. Additionally, the text offers a clear indicator of the impending deadline with ""ends in,"" which effectively puts pressure on the user. The response exhibits a strong understanding of the urgency type and provides a clear and direct example, demonstrating the validity of the selected predicate. Hence, it is clear that this response meets the criteria of the score rubric for a score of 5, as it not only accurately identifies the urgency type but also provides strong evidence to support the chosen predicate. 
[RESULT] 5",True
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages,0,5.0,"Upon examining the provided response, it becomes evident that the response has appropriately selected the ""Limited-time Messages"" predicate, which closely aligns with the type of urgency being described. This predicate accurately identifies the urgent tone conveyed by phrases such as ""ends in"" or ""SHOP NOW,"" which imply that the user has a limited time frame to take advantage of the sale. Additionally, the text offers a clear indicator of the impending deadline with ""ends in,"" which effectively puts pressure on the user. The response exhibits a strong understanding of the urgency type and provides a clear and direct example, demonstrating the validity of the selected predicate. Hence, it is clear that this response meets the criteria of the score rubric for a score of 5, as it not only accurately identifies the urgency type but also provides strong evidence to support the chosen predicate. 
[RESULT] 5",True
17 people have viewed this wine today,Social Proof,1,Activity Notifications,0,3.0,"The model has correctly identified the predicate as ""Activity Notifications."" However, the response lacks a direct statement about the text fitting the specific predicate within the given Type. The response only mentions the type of evidence to consider when determining the predicate, rather than explaining why the provided text matches the defined predicate. Additionally, the response does not mention the tendency of social proof to be exaggerated or fabricated, which is a crucial aspect of the type definition. Although the model has selected the appropriate predicate, it fails to offer a clear rationale for its choice. Consequently, while the response is partially aligned with the score rubric, it does not fully meet the criteria for a score of 5. So the overall score is 3. [RESULT] 3",True
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Not Dark Pattern,0,,0,,,
Strip Softbox,Not Dark Pattern,0,,0,,,
Most people seeing this product right now,Social Proof,1,Activity Notifications,1,5.0,"In the given text, ""Most people seeing this product right now,"" there is a direct indication of activity, which aligns with the definition of the predicate ""Activity Notifications."" This text does not just suggest an action (like buying a product), but also imposes a sense of urgency by stating that ""most people"" are currently engaged in this activity. This effectively leverages social proof to pressure the reader into conforming to this perceived consensus. Furthermore, the use of ""right now"" implies that the current activity level may be fleeting, which can intensify the pressure to act promptly. Based on these observations, the text is a clear example of social proof in action, providing concrete evidence that substantiates the correct prediction of the predicate. Therefore, according to the rubric's emphasis on predicate validity and clear evidence, the response correctly identifies the text's alignment with the ""Activity Notifications"" predicate. 
[RESULT] 5",True
"SALE TIME IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",Urgency,1,Countdown Timers,1,5.0,"Upon examining the text, we find that it clearly indicates a timeframe leading to the expiration of a sale. This information, encapsulated by the phrase ""SALE TIME IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS,"" is indicative of the use of a countdown timer. The context and content of this text do not align with any other urgency indicators, thus ensuring its accuracy within the given predicate. It effectively communicates the impending deadline without any ambiguity or partiality. In contrast, a text indicating an impending deadline with terms like ""TODAY"" or ""Tomorrow"" would likely fall under a different urgency category rather than ""Countdown Timers"". The detailed breakdown of the time elements clearly demonstrates the text's alignment with the specified predicate, justifying a score of 5 based on the rubric's criteria of predicate validity. So the overall score is 5. [RESULT] 5",True
Free Shipping. Limited Time Only. for orders over $50,Urgency,1,Limited-time Messages,0,5.0,"The model successfully identified the text as a predicate of Limited-time Messages. This was done through observable cues such as ""Free Shipping"" and ""Limited Time Only,"" which signify the sense of urgency by promising a benefit but also indicating the time-sensitive nature of the offer. The use of 'Limited Time Only' is a clear indicator of the urgency and the lack of a clear deadline.

Although the text directly mentions a deadline (""for orders over $50""), it is the presence of the phrase ""Limited Time Only"" that elevates the text to fit the 'Limited-time Messages' predicate. The phrase itself suggests that the offer could expire at any moment, thus putting pressure on the user to act promptly. The use of 'Limited Time Only' is not just an indication of urgency, but it is a direct approach to provoke a sense of immediacy, aligning well with the type of urgency described in the score rubric.

In light of these observations, the model's chosen predicate is valid and is supported by clear evidence. Therefore, based on the score rubric, the response adequately addresses the criteria of predicate validity for the given Type. 
[RESULT] 5",True
"Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase",Not Dark Pattern,0,,0,,,
Nursery,Not Dark Pattern,0,,0,,,
Institute for Legislative Reform,Not Dark Pattern,0,,1,,,
Mitre Saws,Not Dark Pattern,0,,0,,,
High Arches,Not Dark Pattern,0,,0,,,
The service you requested is not available in the selected country,Not Dark Pattern,0,,1,,,
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers,0,5.0,"Based on the score rubric, this response accurately identifies the predicate as ""Countdown Timers"" and provides evidence for this decision, showing alignment with the predicate definition. It recognizes the text as a countdown timer, suggesting the urgency of an impending deadline or expiration date. However, it lacks a more thorough explanation of how the text fits the predicate definition, which is needed to fully satisfy the score rubric. The response could have been improved by offering a more detailed analysis of the text's urgency and its potential impact on the user. So the overall score is 5. [RESULT] 5",True
More Info,Not Dark Pattern,0,,0,,,
What's New By Category,Not Dark Pattern,0,,0,,,
Explore The NRA Universe Of Websites,Not Dark Pattern,0,,0,,,
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1,Activity Notifications,0,5.0,"When evaluating the text provided, the predicate of ""Activity Notifications"" can be applied in accordance with the scoring rubric. The model chose the correct predicate, which is defined as real or simulated messages that prompt quick action and often involve fabrication or exaggeration. The text here clearly matches this description. It contains a notification of an individual's recent purchase, a type of activity notification, thereby fitting the given social proof Type. The individual's name and location are presented, giving a sense of realness to the text, thus meeting the criteria of the scoring rubric which requires clear evidence of the text fitting the specific predicate within the given Type. Therefore, the text fits the predicate and provides strong validation of the chosen predicate, making it a good response according to the scoring rubric. 
[RESULT] 5",True
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0,,0,,,
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime.",Not Dark Pattern,0,,0,,,
Thermostats Edit,Not Dark Pattern,0,,1,,,
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,1,Activity Notifications,0,5.0,"In the provided response, the model has accurately selected the Activity Notifications predicate. This prediction is justified by the inclusion of a recent purchase, which aligns with the induction of quick action mentioned in the predicate definition. Moreover, the model provided a clear reason for its choice, which demonstrated a strong understanding of the concept of social proof. By identifying the specific social cue of a recent purchase, the model was able to infer that the text was designed to promote the same action. In comparison to the reference answer, this response displays a more precise interpretation of the text's implications within the framework of the Activity Notifications predicate. It demonstrates the model's capability to recognize and utilize social cues effectively, thus validating the chosen predicate with clear evidence. As such, the model's ability to link the observed cues to the proposed predicate showcases a robust analysis of the text, satisfying the rubric's criteria for a score of 5. 
[RESULT] 5",True
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection,1,Pressured Selling,0,5.0,"Based on the score rubric and the provided response, there's a strong alignment between the text and the Pressured Selling predicate. The text seems to be emphasizing certain products, namely the ""USB Sound Card"" and the ""Y adapter,"" without offering a clear alternative or explaining why these specific options are preferable. This approach subtly influences the user's decision-making process by hinting at the limitations of not selecting these recommended products. While the text doesn't explicitly pressure users to buy these items, it does suggest an urgency in choosing the recommended options. Therefore, according to the score rubric, which emphasizes the validity of the predicate and the presence of clear evidence, the response has successfully met these criteria. It offers a clear link between the text and the Pressured Selling predicate, which aligns with the model-chosen predicate in the response. So the overall score is 5. 
[RESULT] 5",True
