String,Type,label,predicate,prom_score_consistency,prom_feedback,prom_ok
Seen on product page 79 clicks today,Social Proof,1,Activity Notifications,3.0,"The given text (""Seen on product page 79 clicks today"") is indicative of a certain degree of activity or engagement, which could potentially be used as a form of social proof. The presence of the number ""79"" suggests that there have been interactions or visits to the product page. This information may be perceived as a signal of popular opinion or precedence, leading to an inclination towards the product. However, it lacks the explicit element of other people's actions which is crucial for a robust social proof. Furthermore, the number provided does not seem to be an exaggerated or fabricated figure, making it less persuasive. It provides a degree of validation but falls short of fully capturing the essence of activity notifications, as it doesn't specifically indicate the actions of other individuals. Therefore, based on the criteria outlined in the score rubric, the text is only partially aligned with the social proof type, hence earning a score of 3. The strength of the text's connection to the social proof concept is not as robust as it could be. It's worth noting that the response failed to explicitly mention the ""perception that others are already acting"" aspect which is a significant component of social proof. Thus, the interpretation was slightly off, leading to the overall ambiguity. 
[RESULT] 3",True
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages,3.0,"Upon reviewing the given text and the predicted predicate, it is apparent that the response has captured the urgency element, which is the primary focus. The model correctly identifies the presence of a limited-time message conveyed through the statement ""Flash Sale ends in SHOP NOW."" However, the evidence cited by the model is not elaborated upon, which detracts from its credibility. While it rightly selects the urgent tone, the lack of detail regarding the cues observed and how they relate to the predicate diminishes the response's overall effectiveness. The absence of explicit reasoning as to why the model chose the predicate 'Limited-time Messages' further limits the response's strength. Although the model correctly identifies the text as fitting the Urgency type, it fails to provide clear evidence to substantiate its choice. Therefore, the response aligns partially with the rubric's criteria for a score of 3, which signifies an ambiguous match. The score of 3 indicates a partially successful identification of the urgency type but falls short of demonstrating a strong connection to the urgency predicate. Consequently, while the response is on the right track, it does not fully meet the requirements of the rubric. So the overall score is 3. [RESULT] 3",True
17 people have viewed this wine today,Social Proof,1,Activity Notifications,5.0,"Upon examination of the response, it aligns with the score rubric's requirement for a well-defined predicate and clear evidence, thus meeting the criteria for a score of 5. The response successfully identifies the correct predicate, ""Activity Notifications"", which is critical in understanding the purpose and intent behind the text. Furthermore, it does not make any false claims or assumptions about the text, instead relying on observable cues to provide a clear and accurate prediction. By sticking to the facts presented in the text, the response demonstrates a strong understanding of the social proof concept. Hence, it fulfills the expectations of the score rubric by being strongly valid with clear evidence. 

The absence of any misleading or incorrect information also contributes to the response's quality. It neither overstates nor understates the impact of the text on social behavior. Instead, it remains focused on the text's objective of influencing user behavior by presenting a clear and relevant explanation. Therefore, it is evident that the response is not just factually correct but also insightful, offering a comprehensive understanding of the concept of social proof in relation to the given text. 

In conclusion, the response is well-constructed and adheres to the score rubric's standards of being both valid and well-supported with clear evidence. As a result, it is determined that the response achieves a score of 5. 
[RESULT] 5",True
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Not Dark Pattern,0,,,,False
Strip Softbox,Not Dark Pattern,0,,,,False
Rated 3 stars by 60 plus customers,Social Proof,1,Testimonials of Uncertain Origin,5.0,"The response provided for the given text aligns with the prediction of the model for social proof type. It demonstrates a clear understanding of the Type definition, which involves exploiting social cues to influence behavior. The chosen predicate, ""Testimonials of Uncertain Origin"", is directly relevant to the Type definition. Moreover, the provided evidence seems to point towards reviews or ratings without reliable sources. This is consistent with the description in the Type definition and is indicative of an attempt to build false trust. 

However, while the response shows an accurate identification of the predicate and provides an explanation in line with the criteria, it does not offer a detailed examination of the observable cues as required by the score rubric. The response could be improved by explicitly addressing the reliability of the sources and explaining how the predicate is being used to undermine independent decision-making.

Taking into account the score rubric, the response demonstrates a high level of understanding and meets the criteria for a score of 5. Despite not being fully developed, it exhibits a strong alignment with the social proof type, particularly in the selection of the predicate. It could benefit from a more comprehensive analysis of the evidence in the given text. 

Therefore, based on the given score rubric, the response is largely successful in identifying and validating the given predicate within the specified Type. 
[RESULT] 5",True
Save 40 percent if you complete checkout by end of month,Urgency,1,Limited-time Messages,5.0,"The response demonstrates an understanding of the urgency type and correctly identifies the text as fitting the ""Limited-time Messages"" predicate. The response effectively shows that the text uses the urgency tactic of pressure by setting a deadline (""end of month"") without specifying the day, thereby enhancing the sense of urgency and possibly causing stress or anxiety in the reader. The cues that support this interpretation are well-aligned with the predicate definition, indicating that the message exerts a pressure to complete an action within a certain, yet unclear, timeframe. Thus, based on the evidence provided and the alignment with the score rubric, the response validly concludes that the text fits the ""Limited-time Messages"" predicate within the urgency type. 
[RESULT] 5",True
Free Shipping. Limited Time Only. for orders over $50,Urgency,1,Limited-time Messages,5.0,"In evaluating the given text and its relation to the urgency type, the response provides a strong validation of the urgency theme present in the text. The use of phrases like ""Free Shipping"" and ""Limited Time Only"" aligns well with the predicate of ""Limited-time Messages,"" suggesting a sense of urgency and prompting for action. Moreover, the text does not specify a clear deadline, adhering to the criteria set forth in the urgency type definition. The clear absence of a defined deadline coupled with the urgency language used in the text provides a strong justification for the predicate identified in the response. Thus, considering the evidence and adherence to the urgency type, the response presents a well-reasoned evaluation, fulfilling the requirements for a score of 5. 
[RESULT] 5",True
"Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase",Not Dark Pattern,0,,,,False
Nursery,Not Dark Pattern,0,,,,False
you will see clear choices only and no hidden fees,Not Dark Pattern,0,,,,False
Mitre Saws,Not Dark Pattern,0,,,,False
High Arches,Not Dark Pattern,0,,,,False
No hidden steps and no auto selection on the settings page,Not Dark Pattern,0,,,,False
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers,5.0,"The model's choice of the predicate ""Countdown Timers"" is appropriate and indicates a clear understanding of the instruction provided. The model correctly identifies the text as a form of urgency indicator. It correctly infers that the ""00DAYS07HOURS09MINUTES39SECONDS"" represent a countdown that indicates an impending deadline or offer expiration. Furthermore, the model provides a direct and relevant reason for this choice, citing observable cues that support its conclusion. This clear link to the predicate definition demonstrates a strong adherence to the type definition provided. As such, the model's response aligns with the criteria of predicate validity and strong evidence as per the score rubric, making it a score 5 response. 
[RESULT] 5",True
More Info,Not Dark Pattern,0,,,,False
What's New By Category,Not Dark Pattern,0,,,,False
Explore The NRA Universe Of Websites,Not Dark Pattern,0,,,,False
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1,Activity Notifications,1.0,"When evaluating the given text, it's evident that the information presented is not a typical example of social proof. The message mentions a recent purchase by an individual named Jamie, which while informative, does not meet the criteria of social proof, which involves suggesting that others are acting or have already acted in order to influence behavior.

Therefore, the given response does not align well with the definition of social proof or its associated predicate, as it fails to show that Jamie's action influences or pressures others to conform. Consequently, the response does not provide a clear example of social proof and lacks the specific evidence required for the task.

In summary, the response does not fit the specified predicate of social proof within the given Type, as it doesn't present a scenario where the actions of others are depicted to induce quick action or conformity. It also falls short of the expected level of detail and explanation, providing no concrete examples or clear connection to the social proof concept. 
[RESULT] 1",True
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0,,,,False
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime.",Not Dark Pattern,0,,,,False
You can scroll here with no badges and no badges,Not Dark Pattern,0,,,,False
