url,text,translated,confidence,bbox
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[121, 13], [647, 13], [647, 29], [121, 29]], 'FREE SHIPPINC USA ORDERS $200+ Use Coupon Code FREESHIP""']","[[es] [647, 13], [647, 29], [121, 29]], 'FREE SHIPlNC ORDERS $200+ UE CONSTON CODESlP']",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[537, 49], [699, 49], [699, 69], [537, 69]], 'United States (USD $)']","[""537, 49,"" 699, 49, 699, 69, 537, 69], ""united States"" (USD $"")",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[32, 106], [178, 106], [178, 166], [32, 166]], 'SHOP LEARN CONTACT']","[[32, 106], [178, 106], [178, 166], [32, 166], ""SHOP LARN CONTACT""]",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[316, 110], [510, 110], [510, 166], [316, 166]], '급음R 담님튼']","[[316, 110], [510, 110], [510, 166], [316,166], ""R.""",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[596, 122], [728, 122], [728, 154], [596, 154]], '8 Q 구']","[[596, 122], [728, 122], [728, 154], [596, 154], '8 Qour']",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[437, 267], [485, 267], [485, 281], [437, 281]], 'Home']","[[437,267], [485,267], [485,281], [437,281], 'home']",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[436, 296], [664, 296], [664, 388], [436, 388]], 'ELECTRIC SKATEBOARD MOTOR 6374']","[[436,296] [664,296], 664,388 [436,388], 'ELLETRlC SKEEBORD MOTOR 6374']",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,"[[[175, 347], [269, 347], [269, 388], [175, 388]], 'TOICUE D이 DP P 6374 190KV']","[[175,347] [269,347], [269,388], [175,388],",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36,"[[[10, 30], [207, 30], [207, 87], [10, 87]], '= Q 4t Of Jul Sale ECa 1500']","[[[10, 30], [207, 30], [207, 87], [10, 87], ""=Q 4t Of Sal Say 1500""]",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36,"[[[307, 35], [459, 35], [459, 55], [307, 55]], 'Enter To Receive']","[[307, 35], [459, 35], [459, 55], [307, 55], ""Inter To Live""]",1.0,"{'x': 0, 'y': 0, 'width': 0, 'height': 0}"
