global_cluster_id,canonical_norm_global,canonical_example_global,total_collapsed_count,n_members,majority_predicate,is_mixed_predicates
0,no i don t feel lucky,"No, I don't feel lucky",35,2,Confirmshaming,1
1,no thanks i d rather pay full price,"No thanks, I'd rather pay full price.",26,1,Confirmshaming,0
2,no thanks i ll pay full price,"No thanks, I'll pay full price!",15,1,Confirmshaming,0
3,<num> person have purchase this item,"2,221 people have purchased this item",11,1,Activity Notifications,0
4,<num> sold in last <num> hours,156 sold in last 24 hours,10,1,Activity Notifications,0
5,<num> person have view this item,161 people have viewed this item,10,1,Activity Notifications,0
14,no thanks i don t want to save money,"NO THANKS, I DON'T WANT TO SAVE MONEY",9,2,Confirmshaming,0
6,no thanks i don t want a discount,"No Thanks, I Don't Want a Discount",9,1,Confirmshaming,0
7,recommended option selected you can modify later,Recommended option selected (you can modify later).,9,1,Pressured Selling,0
8,no thanks i prefer paying full price,"No Thanks, I Prefer Paying Full Price",9,1,Confirmshaming,0
9,no thanks i don t like free stuff,"No thanks, I don't like FREE stuff.",8,1,Confirmshaming,0
10,<num> person are view this,9 people are viewing this.,8,1,Activity Notifications,0
11,<num> person have added this item to cart,17 people have added this item to cart,8,1,Activity Notifications,0
15,no thanks i don t like saving money,"No Thanks, I Don't Like Saving Money.",7,1,Confirmshaming,0
12,<num> users are currently active on our website just now,40 users are currently active on our website just now.,7,1,Activity Notifications,0
13,processing will be faster with express checkout selected,Processing will be faster with Express Checkout (selected).,7,1,Pressured Selling,0
16,no thanks i don t want to save,"No thanks, I don’t want to save",6,1,Confirmshaming,0
17,no thanks i don t like discounts,"No thanks, I don't like discounts",6,1,Confirmshaming,0
18,best value pre-selected for you change anytime,Best value pre-selected for you (change anytime).,6,1,Pressured Selling,0
19,no thanks i like paying full price,"No thanks, I like paying full price",6,1,Confirmshaming,0
20,no thanks i d rather pay more,"No thanks, I’d rather pay more",6,1,Confirmshaming,0
21,<num> bought,143 BOUGHT,6,1,Activity Notifications,0
24,your discount is applied additional service fee may appear at checkout,Your discount is applied.*  *Additional service fee may appear at checkout.,5,1,Trick Questions,0
25,almost there confirm details to receive extra coupon,Almost there—confirm details to receive extra coupon.,5,1,Pressured Selling,0
22,you re almost done click next to get started,You’re almost done! Click ‘Next’ to get started.,5,1,Trick Questions,0
23,no thanks i don t want <num> off,"NO THANKS, I DON’T WANT 15% OFF",5,1,Confirmshaming,0
34,no thanks i don t like exclusive offers,"No Thanks, I Don't Like Exclusive Offers.",4,1,Confirmshaming,0
40,popular <num> others checked this out in the last few hours,POPULAR 64 others checked this out in the last few hours.,4,1,Activity Notifications,0
39,no thanks i don t want a free gift,"No thanks, I don't want a free gift.",4,1,Confirmshaming,0
38,trending now added to basket <num> times today,Trending now! Added to basket 38 times today,4,1,Activity Notifications,0
37,almost there confirm details to receive bonus points,Almost there—confirm details to receive bonus points.,4,1,Trick Questions,0
36,<num> customers have this in their basket,6 customers have this in their basket,4,1,Activity Notifications,0
26,<num> person are looking at this now,52 people are looking at this right now.,4,1,Activity Notifications,0
35,almost there confirm details to receive free gift,Almost there—confirm details to receive free gift.,4,1,Pressured Selling,0
33,no thanks i don t like deals,"No thanks, I don't like deals.",4,1,Confirmshaming,0
32,purchased <num> times in the last few days,Purchased 8 times in the last few days.,4,1,Activity Notifications,0
31,no thanks i don t like winning,"No thanks, I don't like winning",4,1,Confirmshaming,0
30,no thanks i don t like to save,"No thanks, I don't like to save",4,1,Confirmshaming,0
29,almost there confirm details to receive exclusive access,Almost there—confirm details to receive exclusive access.,4,1,Pressured Selling,0
28,<num> view this product,72 Viewing This Product,4,1,Activity Notifications,0
27,compare at,Compare at,4,1,Trick Questions,0
45,<num> person seeing this product right now,1626 people seeing this product right now,3,1,Activity Notifications,0
48,<num> have it in their cart,31 have it in their cart,3,1,Activity Notifications,0
47,<num> person have looked at this in the last few hrs,6 people have looked at this in the last few hrs.,3,1,Activity Notifications,0
46,<num> recent purchase it,12 recently purchased it.,3,1,Activity Notifications,0
42,no i ll pay full price,"NO, I'LL PAY FULL PRICE",3,1,Confirmshaming,0
44,hurry up <num> person other than you have this product in their cart,Hurry up! 22 people other than you have this product in their cart,3,1,Activity Notifications,0
43,<num> person are looking right now,🔥 2 people are looking right now,3,1,Activity Notifications,0
41,your free gift is ready press continue to proceed,Your free gift is ready—press 'Continue' to proceed.,3,1,Pressured Selling,0
235,someone in cashmere bought a rcm cosworth timing belt kit <num> - <num> my ej <num> <num> <num> hour ago,"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",2,1,Activity Notifications,0
236,someone in canberra purchase nadv <num> austracantha about <num> minutes ago,Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,2,1,Activity Notifications,0
237,someone in byron bay nsw just bought,"Someone in Byron Bay, NSW just bought",2,1,Activity Notifications,0
238,someone in boling iago texas united states purchase seek discomfort sketch white iphone case <num> hours ago,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,2,1,Activity Notifications,0
239,someone in bacchus marsh bought a noosa basics deodorant stick - sensitive <num> g <num> seconds ago,Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,2,1,Activity Notifications,0
240,someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",2,1,Activity Notifications,0
234,someone from purchase a holees original ladies ii - navy about <num> hours ago,Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,2,1,Activity Notifications,0
242,someone in culgoa australia purchase savelli epic mens comfortable leather lace up boots made in brazil,"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",2,1,Activity Notifications,0
243,<num> person have bought this product today,93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,2,1,Activity Notifications,0
244,<num> person have it in their cart,7 people have it in their cart,2,1,Activity Notifications,0
245,<num> customers are considering this product now,80 Customers are considering this product right now.,2,1,Activity Notifications,0
246,someone from south gate california just purchase the admiral jr spektrum servo connector plug set male and female - <num> pairs,"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",2,1,Activity Notifications,0
247,<num> bought already,227 Bought Already,2,1,Activity Notifications,0
248,<num> added to bag in the past <num> hours,45 ADDED TO BAG IN THE PAST 24 HOURS,2,1,Activity Notifications,0
249,<num> person are looking at this listing now,2 people are looking at this listing now,2,1,Activity Notifications,0
241,denise in saluda virginia bought terani couture - <num> e <num> embroidered asymmetric neck mermaid gown,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",2,1,Activity Notifications,0
250,<num> person are looking at this right now,99 people are looking at this right now,2,1,Activity Notifications,0
251,<num> person like this,77 PEOPLE LIKE THIS,2,1,Activity Notifications,0
252,<num> person are view this currently,1 people are viewing this currently,2,1,Activity Notifications,0
232,<num> person have already bought that product today with <num> discount,61 people have already bought that product today with 50% discount,2,1,Activity Notifications,0
266,ibkul solid mock neck half zip pullover purchase from clinton md us <num> minute ago,"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",2,1,Activity Notifications,0
265,hayden near princeton just bought cbd vegan gummies,Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,2,1,Activity Notifications,0
264,someone from airdrie <num> others bought this item recent,Someone from Airdrie & 10820 others bought this item recently.,2,1,Activity Notifications,0
263,someone from cape town western cape south africa just started buy packable travel duffel bag <num> minutes ago,"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",2,1,Activity Notifications,0
262,someone from huntingtown maryland united states purchase topcoat f <num> polish sealer - web special kits just now,"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",2,1,Activity Notifications,0
261,<num> person just view this product,2+ people just viewed this product,2,1,Activity Notifications,0
260,<num> person have looked at this today,57 PEOPLE HAVE LOOKED AT THIS TODAY,2,1,Activity Notifications,0
259,<num> person have this in their cart,39 people have this in their cart,2,1,Activity Notifications,0
258,<num> person have view in the last <num> hrs,113 people have viewed in the last 24hrs,2,1,Activity Notifications,0
257,<num> person have view this product recent,228 People Have Viewed This Product Recently!,2,1,Activity Notifications,0
256,<num> person have view this wine today,17 people have viewed this wine today,2,1,Activity Notifications,0
255,<num> person is looking at this item,1 person is looking at this item.,2,1,Activity Notifications,0
254,<num> person is view this,🔥👁️ 1 person is viewing this.,2,1,Activity Notifications,0
253,<num> person have looked at this item in the last few hours,62 people have looked at this item in the last few hours.,2,1,Activity Notifications,0
