predicate,cluster_id,canonical_norm,canonical_example,collapsed_count,num_variations,Type
Activity Notifications,0,<num> person have purchase this item,"2,221 people have purchased this item",11,1,Social Proof
Activity Notifications,1,<num> sold in last <num> hours,156 sold in last 24 hours,10,1,Social Proof
Activity Notifications,2,<num> person have view this item,161 people have viewed this item,10,1,Social Proof
Activity Notifications,3,<num> person are view this,9 people are viewing this.,8,1,Social Proof
Activity Notifications,4,<num> person have added this item to cart,17 people have added this item to cart,8,1,Social Proof
Activity Notifications,8,<num> users are currently active on our website just now,40 users are currently active on our website just now.,7,2,Social Proof
Activity Notifications,5,<num> bought,143 BOUGHT,6,1,Social Proof
Activity Notifications,6,purchased <num> times in the last few days,Purchased 8 times in the last few days.,4,1,Social Proof
Activity Notifications,7,<num> person are looking at this now,52 people are looking at this right now.,4,1,Social Proof
Activity Notifications,9,<num> customers have this in their basket,6 customers have this in their basket,4,1,Social Proof
Activity Notifications,10,<num> view this product,72 Viewing This Product,4,1,Social Proof
Activity Notifications,11,trending now added to basket <num> times today,Trending now! Added to basket 38 times today,4,1,Social Proof
Activity Notifications,12,popular <num> others checked this out in the last few hours,POPULAR 64 others checked this out in the last few hours.,4,1,Social Proof
Activity Notifications,13,<num> person have looked at this in the last few hrs,6 people have looked at this in the last few hrs.,3,1,Social Proof
Activity Notifications,14,<num> have it in their cart,31 have it in their cart,3,1,Social Proof
Activity Notifications,15,<num> person are looking right now,🔥 2 people are looking right now,3,1,Social Proof
Activity Notifications,16,<num> recent purchase it,12 recently purchased it.,3,1,Social Proof
Activity Notifications,17,<num> person seeing this product right now,1626 people seeing this product right now,3,1,Social Proof
Activity Notifications,18,hurry up <num> person other than you have this product in their cart,Hurry up! 22 people other than you have this product in their cart,3,1,Social Proof
Activity Notifications,19,over <num> person have bought this product,Over 238 people have bought this product,2,1,Social Proof
Activity Notifications,20,popular item <num> person recent purchase this,Popular item! 🔥 27 people recently purchased this.,2,1,Social Proof
Activity Notifications,21,matthew in charleston south carolina just purchase the puffy lux mattress,"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",2,1,Social Proof
Activity Notifications,22,mher from san angelo tx recent made a purchase with crossrope,"Mher from San Angelo, TX Recently made a purchase with Crossrope",2,1,Social Proof
Activity Notifications,23,popular item <num> person are view this and <num> recent purchase it,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,2,1,Social Proof
Activity Notifications,24,michael m from lacey wa just bought a cal king,"Michael M. from Lacey, WA just bought a Cal King",2,1,Social Proof
Activity Notifications,25,monira in doha qatar purchase a lilyvanity velvet box,"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",2,1,Social Proof
Activity Notifications,26,most popular,MOST POPULAR,2,1,Social Proof
Activity Notifications,27,mounif in pittsburgh united states purchased,"Mounif in Pittsburgh, United States purchased",2,1,Social Proof
Activity Notifications,28,nancy in pennsylvania purchase <num> italian sterling silver milano twist adjustable chain,"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",2,1,Social Proof
Activity Notifications,29,oh so popular <num> bought in the last <num> days,OH SO POPULAR! 21 bought in the last 7 days.,2,1,Social Proof
Activity Notifications,30,oliver in rotterdam netherlands purchase a england away soccer shorts <num> about <num> hours ago,"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",2,1,Social Proof
Activity Notifications,31,one customer bought this article in the last <num> min,One customer bought this article in the last 53 min.,2,1,Social Proof
Activity Notifications,32,other person want this <num> person have this in their cart now,Other people want this. 10 people have this in their cart right now.,2,1,Social Proof
Activity Notifications,33,over <num> views in <num> hrs,Over 200 views in 24 hrs,2,1,Social Proof
Activity Notifications,34,long dress style beach cover up with lace detail jessica in metairie united states,"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",2,1,Social Proof
Activity Notifications,35,last purchase was <num> minutes ago by someone from dublin,Last purchase was 18 minutes ago by someone from Dublin,2,1,Social Proof
Activity Notifications,36,laurie in urraween queensland bought no brainer usb charging anti-theft backpack,"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",2,1,Social Proof
Activity Notifications,37,get it fast <num> added to bag today,Get it fast! 14 added to bag today,2,1,Social Proof
Activity Notifications,38,grace from orlando united states bought camouflage jumpsuit <num> minutes ago,"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",2,1,Social Proof
Activity Notifications,39,hayden near princeton just bought cbd vegan gummies,Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,2,1,Social Proof
Activity Notifications,40,ibkul solid mock neck half zip pullover purchase from clinton md us <num> minute ago,"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",2,1,Social Proof
Activity Notifications,41,in <num> person s shopping bag,IN 43 PEOPLE'S SHOPPING BAG,2,1,Social Proof
Activity Notifications,42,in other users carts <num>,In other users' carts 59,2,1,Social Proof
