predicate,canonical_example,collapsed_count,num_variations
Activity Notifications,"2,221 people have purchased this item",11,1
Activity Notifications,161 people have viewed this item,10,1
Activity Notifications,156 sold in last 24 hours,10,1
Activity Notifications,9 people are viewing this.,8,1
Activity Notifications,17 people have added this item to cart,8,1
Activity Notifications,40 users are currently active on our website just now.,7,2
Activity Notifications,143 BOUGHT,6,1
Activity Notifications,Purchased 8 times in the last few days.,4,1
Activity Notifications,52 people are looking at this right now.,4,1
Activity Notifications,6 customers have this in their basket,4,1
Activity Notifications,72 Viewing This Product,4,1
Activity Notifications,Trending now! Added to basket 38 times today,4,1
Activity Notifications,POPULAR 64 others checked this out in the last few hours.,4,1
Activity Notifications,12 recently purchased it.,3,1
Activity Notifications,1626 people seeing this product right now,3,1
Activity Notifications,Hurry up! 22 people other than you have this product in their cart,3,1
Activity Notifications,🔥 2 people are looking right now,3,1
Activity Notifications,6 people have looked at this in the last few hrs.,3,1
Activity Notifications,31 have it in their cart,3,1
Activity Notifications,17 people have viewed this wine today,2,1
Confirmshaming,"No, I don't feel lucky",33,1
Confirmshaming,"No thanks, I'd rather pay full price.",26,3
Confirmshaming,"No thanks, I'll pay full price!",15,2
Confirmshaming,"No Thanks, I Prefer Paying Full Price",9,1
Confirmshaming,"No Thanks, I Don't Want a Discount",9,3
Confirmshaming,"No thanks, I don't like FREE stuff.",8,1
Confirmshaming,"No Thanks, I Don't Like Saving Money.",7,1
Confirmshaming,"NO THANKS, I DON'T WANT TO SAVE MONEY",7,2
Confirmshaming,"No thanks, I don’t want to save",6,1
Confirmshaming,"No thanks, I’d rather pay more",6,1
Confirmshaming,"No thanks, I like paying full price",6,1
Confirmshaming,"No thanks, I don't like discounts",6,2
Confirmshaming,"NO THANKS, I DON’T WANT 15% OFF",5,1
Confirmshaming,"No thanks, I don't like deals.",4,1
Confirmshaming,"No thanks, I don't like winning",4,1
Confirmshaming,"No thanks, I don't like to save",4,1
Confirmshaming,"No thanks, I don't want a free gift.",4,1
Confirmshaming,"No Thanks, I Don't Like Exclusive Offers.",4,1
Confirmshaming,"NO, I'LL PAY FULL PRICE",3,1
Confirmshaming,No thanks - I don't want to save money,2,1
Pressured Selling,Recommended option selected (you can modify later).,9,1
Pressured Selling,Processing will be faster with Express Checkout (selected).,7,1
Pressured Selling,Best value pre-selected for you (change anytime).,6,1
Pressured Selling,Almost there—confirm details to receive extra coupon.,5,1
Pressured Selling,Almost there—confirm details to receive free gift.,4,1
Pressured Selling,Almost there—confirm details to receive exclusive access.,4,1
Pressured Selling,Your free gift is ready—press 'Continue' to proceed.,3,1
Pressured Selling,"Before you check out, can we tempt you?",2,1
Pressured Selling,Necessary Protection..,2,1
Pressured Selling,Continue to claim your bonus points (auto-applies at checkout).,2,1
Pressured Selling,Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,2,1
Pressured Selling,Competitor Price: $172.00,2,1
Pressured Selling,Add on something to make it extra special!,2,1
Pressured Selling,ADD WORLD'S MOST COMFORTABLE CHAIRS,2,1
Pressured Selling,Add to Your Gift and We'll Ship it For Free!,2,1
Pressured Selling,Continue to claim your free gift (auto-applies at checkout).,2,1
Pressured Selling,ADD FOR BETTER RESULTS,2,1
Pressured Selling,Customer also shopped for,2,1
Pressured Selling,DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,2,1
Pressured Selling,Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,2,1
Trick Questions,You’re almost done! Click ‘Next’ to get started.,5,1
Trick Questions,Your discount is applied.*  *Additional service fee may appear at checkout.,5,1
Trick Questions,Almost there—confirm details to receive bonus points.,4,1
Trick Questions,Compare at,4,1
Trick Questions,LOGIN/REGISTER,2,1
Trick Questions,Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,2,1
Trick Questions,How about these?,2,1
Trick Questions,I already have this item. Do not add this to cart,2,1
Trick Questions,I don't feel lucky,2,1
Trick Questions,I don't like discounts,2,1
Trick Questions,I WANT TO PAY MORE LATER ;),2,1
Trick Questions,I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,2,1
Trick Questions,"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",2,1
Trick Questions,Lenscap: Damage Only,2,1
Trick Questions,Spin to unlock your mystery offer,2,1
Trick Questions,Personalize your doll,2,1
Trick Questions,Uncheck the box if you prefer not to receive email updates.,2,1
Trick Questions,Want Free Shipping?,2,1
Trick Questions,"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",2,1
Trick Questions,"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",2,1
