global_cluster_id,canonical_norm_global,canonical_example_global,total_collapsed_count,n_members,majority_predicate,is_mixed_predicates
0,no thanks i d rather pay full price,No thanks. I'd rather pay full price.,11,1,Confirmshaming,0
2,<num> person have purchase this item,"2,221 people have purchased this item",6,1,Activity Notifications,0
3,<num> person have view this item,161 people have viewed this item,6,1,Activity Notifications,0
1,<num> sold in last <num> hours,9 sold in last 4 hours,6,1,Activity Notifications,0
4,<num> person have added this item to cart,17 people have added this item to cart,5,1,Activity Notifications,0
5,<num> person are view this,9 people are viewing this.,5,1,Activity Notifications,0
6,no thanks i ll pay full price,"No Thanks, I'll Pay Full Price",5,1,Confirmshaming,0
7,no thanks i don t like discounts,"NO, THANKS. I DON'T LIKE DISCOUNTS",5,1,Confirmshaming,0
10,no i don t feel lucky,"NO, I DON'T FEEL LUCKY",5,2,Confirmshaming,1
12,no thanks i don t like free stuff,"NO THANKS, I DON'T LIKE FREE STUFF",4,1,Confirmshaming,0
15,no thanks i don t want to save money,No thanks. I don’t want to save money.,4,2,Confirmshaming,0
25,free trial starts now billing begins automatically after <num> hours,Free trial starts now billing begins automatically after 24 hours,4,2,Trick Questions,0
9,no thanks i don t want a discount,"No Thanks, I Don't Want a Discount",4,1,Confirmshaming,0
11,no thanks i prefer paying full price,"No Thanks, I Prefer Paying Full Price.",4,1,Confirmshaming,0
8,<num> users are currently active on our website,339 users are currently active on our website,4,1,Activity Notifications,0
20,<num> bought,3642 BOUGHT,3,1,Activity Notifications,0
23,no thanks i don t want to save,"NO THANKS, I DON'T WANT TO SAVE",3,1,Confirmshaming,0
22,no thanks i like paying full price,"No Thanks, I like paying full price.",3,1,Confirmshaming,0
21,popular choice <num> users selected this today,Popular choice 71 users selected this today,3,1,Activity Notifications,0
19,<num> recent purchase it,12 recently purchased it.,3,1,Activity Notifications,0
17,trending now <num> customers are view this item,Trending now 50 customers are viewing this item,3,1,Activity Notifications,0
16,currently <num> person have this in their carts,Currently 46 people have this in their carts,3,1,Activity Notifications,0
14,no thanks i don t like saving money,"No Thanks, I Don't Like Saving Money.",3,1,Confirmshaming,0
13,no thanks i d rather pay more,"No thanks, I'd rather pay more",3,1,Confirmshaming,0
18,high demand <num> views in <num> hours,High demand 19 views in 6 hours,3,1,Activity Notifications,0
40,<num> person have this in their cart,135 people have this in their cart,2,1,Activity Notifications,0
48,seen on product page <num> clicks today,Seen on product page 79 clicks today,2,1,Activity Notifications,0
42,<num> plus verified purchase this week,18 plus verified purchases this week,2,1,Activity Notifications,0
43,grace from orlando united states bought camouflage jumpsuit <num> minutes ago,"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago",2,1,Activity Notifications,0
44,<num> person is view this,🔥👁️ 1 person is viewing this.,2,1,Activity Notifications,0
46,popular <num> others checked this out in the last few hours,POPULAR 64 others checked this out in the last few hours.,2,1,Activity Notifications,0
47,<num> customers have this in their basket,7 customers have this in their basket,2,1,Activity Notifications,0
51,<num> have it in their cart,85 have it in their cart,2,1,Activity Notifications,0
49,michael in pontiac united states purchase a,"Michael in Pontiac, United States purchased a",2,1,Activity Notifications,0
50,trending now added to basket <num> times today,Trending now! Added to basket 490 times today,2,1,Activity Notifications,0
52,<num> person seeing this product right now,31 people seeing this product right now,2,1,Activity Notifications,0
53,<num> view this product,5 Viewing This Product,2,1,Activity Notifications,0
54,sabrina in paraparaumu new zealand purchase a scho-ka-kola schokakola energy chocolate caffeine snack food mre caffeinated,"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",2,1,Activity Notifications,0
41,purchased <num> times in the last few days,Purchased 8 times in the last few days.,2,1,Activity Notifications,0
45,popular badge earned from <num> plus purchases,Popular badge earned from 95 plus purchases,2,1,Activity Notifications,0
39,frequently bought together by <num> plus customers,Frequently bought together by 30 plus customers,2,1,Activity Notifications,0
32,seen on checkout <num> clicks today,Seen on checkout 88 clicks today,2,1,Activity Notifications,0
38,real time <num> view this online course now,Real time 36 viewing this online course now,2,1,Activity Notifications,0
26,no thanks i don t like to save,"no thanks, I don't like to save",2,1,Confirmshaming,0
27,<num> person have looked at this in the last couple of hrs,2 people have looked at this in the last couple of hrs.,2,1,Activity Notifications,0
28,no thanks i don t like deals,"No thanks, I don't like deals.",2,1,Confirmshaming,0
30,no thanks i don t want a free gift,"No thanks, I don't want a free gift.",2,1,Confirmshaming,0
31,no thanks i don t want <num> off,"NO THANKS, I DON’T WANT 15% OFF",2,1,Confirmshaming,0
29,no thanks i don t like exclusive offers,"No thanks, I don't like exclusive offers",2,1,Confirmshaming,0
33,join over <num> person who already purchase this,Join over 17 people who already purchased this,2,1,Activity Notifications,0
34,tambria in hattiesburg just bought peruvian virgin natural wave hair <num> bundles with lace frontal <num> human virgin hair,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",2,1,Activity Notifications,0
35,hurry up <num> person other than you have this product in their cart,Hurry up! 6 people other than you have this product in their cart,2,1,Activity Notifications,0
36,<num> person are looking at this now,52 people are looking at this right now.,2,1,Activity Notifications,0
37,<num> person are looking right now,2 people are looking right now,2,1,Activity Notifications,0
24,no thanks i don t like winning,"No thanks, I don't like winning.",2,1,Confirmshaming,0
452,recently view <num> others view this in the last few hours,RECENTLY VIEWED 2 others viewed this in the last few hours,1,1,Activity Notifications,0
446,popular item <num> person are view this and <num> recent purchase it,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,1,1,Activity Notifications,0
447,selling fast add to bag <num> times in the last <num> hours,Selling fast! Add to bag 7 times in the last 48 hours.,1,1,Activity Notifications,0
448,selected by <num> users in the last <num> minutes,Selected by 73 users in the last 30 minutes,1,1,Activity Notifications,0
449,sara from philadelphia just saved <num> on her order,Sara from Philadelphia just saved $68 on her order.,1,1,Activity Notifications,0
450,real time <num> visitor right now,Real time 30 Visitor right now,1,1,Activity Notifications,0
451,rebecca in buffalo just bought sateen twill swatchabout <num> hour ago,Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,1,1,Activity Notifications,0
458,laurie in urraween queensland bought no brainer usb charging anti-theft backpack,"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",1,1,Activity Notifications,0
453,rick in columbia united states purchase a,"Rick in Columbia, United States purchased a",1,1,Activity Notifications,0
