predicate,cluster_id,canonical_norm,canonical_example,collapsed_count,num_variations,Type
Activity Notifications,0,<num> sold in last <num> hours,9 sold in last 4 hours,6,1,Social Proof
Activity Notifications,1,<num> person have purchase this item,"2,221 people have purchased this item",6,1,Social Proof
Activity Notifications,2,<num> person have view this item,161 people have viewed this item,6,1,Social Proof
Activity Notifications,3,<num> person have added this item to cart,17 people have added this item to cart,5,1,Social Proof
Activity Notifications,4,<num> person are view this,9 people are viewing this.,5,1,Social Proof
Activity Notifications,26,<num> users are currently active on our website,339 users are currently active on our website,4,2,Social Proof
Activity Notifications,5,popular choice <num> users selected this today,Popular choice 71 users selected this today,3,1,Social Proof
Activity Notifications,6,<num> bought,3642 BOUGHT,3,1,Social Proof
Activity Notifications,7,<num> recent purchase it,12 recently purchased it.,3,1,Social Proof
Activity Notifications,8,high demand <num> views in <num> hours,High demand 19 views in 6 hours,3,1,Social Proof
Activity Notifications,9,trending now <num> customers are view this item,Trending now 50 customers are viewing this item,3,1,Social Proof
Activity Notifications,10,currently <num> person have this in their carts,Currently 46 people have this in their carts,3,1,Social Proof
Activity Notifications,11,hurry up <num> person other than you have this product in their cart,Hurry up! 6 people other than you have this product in their cart,2,1,Social Proof
Activity Notifications,12,<num> person are looking at this now,52 people are looking at this right now.,2,1,Social Proof
Activity Notifications,13,<num> person are looking right now,2 people are looking right now,2,1,Social Proof
Activity Notifications,14,real time <num> view this online course now,Real time 36 viewing this online course now,2,1,Social Proof
Activity Notifications,15,frequently bought together by <num> plus customers,Frequently bought together by 30 plus customers,2,1,Social Proof
Activity Notifications,16,<num> person have this in their cart,135 people have this in their cart,2,1,Social Proof
Activity Notifications,17,purchased <num> times in the last few days,Purchased 8 times in the last few days.,2,1,Social Proof
Activity Notifications,18,popular badge earned from <num> plus purchases,Popular badge earned from 95 plus purchases,2,1,Social Proof
Activity Notifications,19,grace from orlando united states bought camouflage jumpsuit <num> minutes ago,"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago",2,1,Social Proof
Activity Notifications,20,<num> person is view this,🔥👁️ 1 person is viewing this.,2,1,Social Proof
Activity Notifications,21,sabrina in paraparaumu new zealand purchase a scho-ka-kola schokakola energy chocolate caffeine snack food mre caffeinated,"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",2,1,Social Proof
Activity Notifications,22,popular <num> others checked this out in the last few hours,POPULAR 64 others checked this out in the last few hours.,2,1,Social Proof
Activity Notifications,23,<num> customers have this in their basket,7 customers have this in their basket,2,1,Social Proof
Activity Notifications,24,seen on product page <num> clicks today,Seen on product page 79 clicks today,2,1,Social Proof
Activity Notifications,25,michael in pontiac united states purchase a,"Michael in Pontiac, United States purchased a",2,1,Social Proof
Activity Notifications,27,trending now added to basket <num> times today,Trending now! Added to basket 490 times today,2,1,Social Proof
Activity Notifications,28,<num> have it in their cart,85 have it in their cart,2,1,Social Proof
Activity Notifications,29,<num> person seeing this product right now,31 people seeing this product right now,2,1,Social Proof
Activity Notifications,30,join over <num> person who already purchase this,Join over 17 people who already purchased this,2,1,Social Proof
Activity Notifications,31,<num> view this product,5 Viewing This Product,2,1,Social Proof
