Predicate,rank,term,weight_sum
Activity Notifications,1,um> ,12.236641534006491
Activity Notifications,2,m> ,12.236641534006491
Activity Notifications,3,num> ,12.236641534006491
Activity Notifications,4,num,12.12526341946328
Activity Notifications,5,<num,12.119006786664102
Activity Notifications,6,um>,12.119006786664102
Activity Notifications,7,num>,12.119006786664102
Activity Notifications,8,<num>,12.119006786664102
Activity Notifications,9,<nu,12.119006786664102
Activity Notifications,10, <n,8.457754980958514
Activity Notifications,11, <nu,8.457754980958514
Activity Notifications,12, <num,8.457754980958514
Activity Notifications,13,in ,7.815705879210135
Activity Notifications,14, in ,7.360210441865585
Activity Notifications,15, th,7.2710578068119425
Activity Notifications,16, in,7.1417780822565184
Activity Notifications,17,ers,6.957315072710588
Activity Notifications,18,this,6.635389681639258
Activity Notifications,19,his,6.613401702702627
Activity Notifications,20,thi,6.54320364274254
Confirmshaming,1,no ,6.273823122979951
Confirmshaming,2, i ,6.209405225403821
Confirmshaming,3,thank,6.088015569151637
Confirmshaming,4,hank,6.088015569151637
Confirmshaming,5,o tha,6.088015569151637
Confirmshaming,6,no th,6.088015569151637
Confirmshaming,7,no t,6.062285063784111
Confirmshaming,8,ank,6.036895369843959
Confirmshaming,9, than,5.987103119233804
Confirmshaming,10,nks,5.965779742874606
Confirmshaming,11,anks,5.965779742874606
Confirmshaming,12,hanks,5.965779742874606
Confirmshaming,13,than,5.962683758834094
Confirmshaming,14, tha,5.891238450687688
Confirmshaming,15,o th,5.891238450687688
Confirmshaming,16,tha,5.845046001826938
Confirmshaming,17,han,5.822360602529816
Confirmshaming,18,o t,5.71279398952347
Confirmshaming,19,nks ,5.629182732806766
Confirmshaming,20,anks ,5.629182732806766
Pressured Selling,1,you,4.0367613120127155
Pressured Selling,2, you,3.2418412209012004
Pressured Selling,3, yo,3.23134677825903
Pressured Selling,4,to ,2.9124086258920356
Pressured Selling,5,ed ,2.8796319773917425
Pressured Selling,6,our ,2.8225884647683293
Pressured Selling,7,ur ,2.8045984388905834
Pressured Selling,8, ex,2.6892002646524626
Pressured Selling,9,our,2.576229236626575
Pressured Selling,10,your,2.482819500991304
Pressured Selling,11, to ,2.4805714346240864
Pressured Selling,12, to,2.4263286881326462
Pressured Selling,13,your ,2.3877114231824774
Pressured Selling,14,or ,2.367491781379177
Pressured Selling,15,for,2.3124091597090484
Pressured Selling,16, pr,2.265841235742953
Pressured Selling,17, fo,2.2454707129810796
Pressured Selling,18, for,2.220849319136462
Pressured Selling,19, ch,2.1892308832677085
Pressured Selling,20,for ,2.1844789399655604
Trick Questions,1,to ,3.3130340379751293
Trick Questions,2,you,2.976958483148664
Trick Questions,3, to ,2.855563122060254
Trick Questions,4, to,2.6810672752358107
Trick Questions,5, you,2.637850290897152
Trick Questions,6, yo,2.629311079168345
Trick Questions,7, re,2.521107778635172
Trick Questions,8, co,2.4832448612877362
Trick Questions,9, pr,2.151362594136428
Trick Questions,10,con,2.015189221952534
Trick Questions,11, kee,1.945505959001439
Trick Questions,12, keep,1.945505959001439
Trick Questions,13,tion,1.9396781425975138
Trick Questions,14,ep ,1.931794154097253
Trick Questions,15,tio,1.9302084536971515
Trick Questions,16,ion,1.9250562491496943
Trick Questions,17, ke,1.924414707287745
Trick Questions,18,ess,1.889072950617581
Trick Questions,19,your ,1.8634019166326627
Trick Questions,20,your,1.8563364588794524
