test_idx,train_match_idx,cos_sim,test_text,train_text,test_label,train_label
570,3156,1.0000007,Limited Stock!,Limited stock!,Low-stock Messages,Low-stock Messages
2325,977,1.0000006,Only 1 left in stock,ONLY 1 LEFT IN STOCK,Low-stock Messages,Low-stock Messages
2487,639,1.0000006,Only 1 left in stock!,Only 1 Left in Stock!,Low-stock Messages,Low-stock Messages
1542,1026,1.0000006,Only 3 left,ONLY 3 LEFT,Low-stock Messages,Low-stock Messages
2976,977,1.0000006,Only 1 left in Stock,ONLY 1 LEFT IN STOCK,Low-stock Messages,Low-stock Messages
1151,2646,1.0000006,Recent Searches,Recent searches,Not Dark Pattern,Not Dark Pattern
2211,84,1.0000005,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair","Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",Activity Notifications,Activity Notifications
1264,1450,1.0000005,Only 2 left in stock!,ONLY 2 LEFT IN STOCK!,Low-stock Messages,Low-stock Messages
1,3140,1.0000002,Flash Sale ends in SHOP NOW,Flash Sale ends in SHOP NOW,Limited-time Messages,Limited-time Messages
989,2909,1.0000002,1 in Stock,1 in stock,Low-stock Messages,Low-stock Messages
2182,2508,1.0000001,Hurry! Only 2 left!,HURRY! ONLY 2 LEFT!,Low-stock Messages,Low-stock Messages
2270,195,1.0000001,40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80,40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80,Limited-time Messages,Limited-time Messages
1059,2793,1.0000001,only 5 left in stock!,ONLY 5 LEFT IN STOCK!,Low-stock Messages,Low-stock Messages
945,1178,1.0000001,Your order is reserved for 09:14 minutes!,Your order is reserved for 09:14 minutes!,Countdown Timers,Countdown Timers
2123,1909,1.0,"no thanks, I like paying full price","No thanks, I like paying full price",Confirmshaming,Confirmshaming
2830,317,1.0,Only a few left,Only A Few Left,Low-stock Messages,Low-stock Messages
2314,1984,1.0,Diamond Nose Studs,Diamond Nose Studs,Not Dark Pattern,Not Dark Pattern
575,2867,1.0,LIMITED TIME OFFER!,Limited Time Offer!,Limited-time Messages,Limited-time Messages
423,2273,1.0,Only 3 Left In Stock,Only 3 left in stock,Low-stock Messages,Low-stock Messages
2093,626,0.99999994,"NO THANKS, I'll PAY FULL PRICE","No Thanks, I'll Pay Full Price",Confirmshaming,Confirmshaming
794,552,0.9999999,3 Left,3 left,Low-stock Messages,Low-stock Messages
348,1812,0.9999999,ONLY 3 LEFT IN STOCK.,Only 3 left in stock.,Low-stock Messages,Low-stock Messages
1099,1257,0.9999998,Shirts & Blouses,Shirts & Blouses,Not Dark Pattern,Not Dark Pattern
1451,1757,0.9999998,Hurry! Only 1 left in stock,Hurry! Only 1 Left In Stock,Low-stock Messages,Low-stock Messages
866,1643,0.99999964,All Brands A-Z,All Brands A-Z,Not Dark Pattern,Not Dark Pattern
3142,2032,0.9999996,"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago","GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago",Activity Notifications,Activity Notifications
395,2482,0.99999946,Only 5 left,Only 5 Left,Low-stock Messages,Low-stock Messages
2998,589,0.9999994,ONLY 4 LEFT IN STOCK,Only 4 left in stock,Low-stock Messages,Low-stock Messages
1871,975,0.9999994,OFFER ENDS: 09h: 09m: 55s: 0,OFFER ENDS: 09h: 09m: 55s: 0,Countdown Timers,Countdown Timers
2499,1494,0.9989535,there are no promotional banners and you may check out without prompts,there is no promotional banners and you may check out without prompts,Not Dark Pattern,Not Dark Pattern
2778,1161,0.99614143,Your order is reserved for 09:57 minutes!,Your order is reserved for 09:58 minutes!,Countdown Timers,Countdown Timers
30,1905,0.99512094,"Hurry, only 6 left in stock!",Hurry! Only 6 left in stock!,Low-stock Messages,Low-stock Messages
2100,1161,0.99246705,Your order is reserved for 09:43 minutes!,Your order is reserved for 09:58 minutes!,Countdown Timers,Countdown Timers
2916,1905,0.991651,Hurry! Only 6 left in stock,Hurry! Only 6 left in stock!,Low-stock Messages,Low-stock Messages
1262,2333,0.9913083,Items in your cart are in high demand.,Items in your cart are in VERY high-demand.,High-demand Messages,High-demand Messages
2191,339,0.9908307,Your cart is reserved for 14:05 minutes!,Your cart is reserved for 14:57 minutes!,Countdown Timers,Countdown Timers
1442,1697,0.9906083,"No, I don't feel lucky.","No, I don't feel lucky",Confirmshaming,Confirmshaming
1105,786,0.9903802,"No thanks, I'd rather pay full price.",No thanks. I'd rather pay full price.,Confirmshaming,Confirmshaming
3194,1824,0.99036837,Free trial starts now billing begins automatically after 30 minutes,Free trial starts now billing begins automatically after 45 minutes,Trick Questions,Trick Questions
281,1024,0.9878435,Ending soon cart will reset after 10 minutes,Ending soon cart will reset after 20 minutes,Countdown Timers,Countdown Timers
1137,2195,0.9849878,No thanks - I don't want to save money,"NO THANKS, I DON'T WANT TO SAVE MONEY",Confirmshaming,Confirmshaming
2622,243,0.9822993,Move fast 10 minutes left to secure promotional pricing,Move fast 15 minutes left to secure promotional pricing,Countdown Timers,Countdown Timers
2028,3116,0.9762789,87% offers claimed. Hurry up!,89% offers claimed. Hurry up!,High-demand Messages,High-demand Messages
1412,133,0.974288,Trending now 51 customers are viewing this item,Trending now 50 customers are viewing this item,Activity Notifications,Activity Notifications
1337,1139,0.97286403,"No thanks, I don't like free stuff","No thanks, I don't like FREE stuff.",Confirmshaming,Confirmshaming
1592,2273,0.9722163,"Only 3 left , In Stock",Only 3 left in stock,Low-stock Messages,Low-stock Messages
