trial,hidden,layers,dropout,lr,weight_decay,knn_k,sec,val_f1,val_acc,test_f1,test_acc
12,128,2,0.1,0.001,0.001,15,3.3,0.8268493253955912,0.921875,0.8414664257724865,0.921996879875195
4,128,3,0.1,0.0005,0.001,8,3.8,0.8257694522257598,0.925,0.8380053776810199,0.9173166926677067
9,128,3,0.1,0.0005,0.001,10,3.7,0.8229201229199662,0.934375,0.8447649057512777,0.9282371294851794
5,128,3,0.5,0.0005,0.0005,15,4.3,0.7779447348439597,0.9125,0.8379593878242424,0.9188767550702028
7,128,2,0.1,0.0005,1e-05,12,3.3,0.7751509103641456,0.9125,0.8305481976650311,0.9173166926677067
3,256,2,0.5,0.0005,1e-05,12,1.5,0.5203260006332877,0.821875,0.4616898141989455,0.7878315132605305
11,256,2,0.5,0.001,1e-05,15,1.4,0.5024800173128106,0.79375,0.46616077523051225,0.765990639625585
14,128,4,0.1,0.001,0.0005,10,0.9,0.4270384201249847,0.68125,0.3578693556230116,0.6396255850234009
6,256,4,0.5,0.0005,1e-05,10,1.5,0.42635678576328073,0.784375,0.3773859214539273,0.7519500780031201
2,256,2,0.1,0.0005,1e-05,8,1.2,0.41664868397336957,0.75,0.3964837110412431,0.7301092043681747
8,256,4,0.1,0.001,1e-05,10,1.3,0.4020322241440632,0.75,0.3310601320141213,0.719188767550702
10,128,4,0.1,0.001,0.001,10,0.9,0.36548834400810853,0.74375,0.37039246127786296,0.7457098283931357
13,256,4,0.1,0.0005,0.0005,12,1.9,0.34659575997735487,0.721875,0.33291383537380287,0.7067082683307332
1,256,4,0.5,0.001,0.001,10,2.0,0.27273781468596864,0.675,0.23604628999890848,0.6630265210608425
